study,questionnaire,answer_list,value,label_de,label
soep-is,soep-is-2012-aufwuchs,174+173,1,...im ersten Jahr nach der Geburt,… in the first year after birth
soep-is,soep-is-2012-aufwuchs,174+173,2,...im zweiten Jahr nach der Geburt,… in the second year after birth
soep-is,soep-is-2012-aufwuchs,174+173,3,...im dritten Jahr nach der Geburt,… in the third year after birth
soep-is,soep-is-2012-aufwuchs,174+173,4,...im vierten bis sechsten Jahr nach der Geburt,… in the forth year after birth
soep-is,soep-is-2012-aufwuchs,174+173,5,...nach mehr als sechs Jahren nach der Geburt,… after more than six years after birth
soep-is,soep-is-2012-aufwuchs,174+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,175+16,1,Im ersten Jahr nach der Geburt,… in the first year after birth
soep-is,soep-is-2012-aufwuchs,175+16,2,Im zweiten Jahr nach der Geburt,… in the second year after birth
soep-is,soep-is-2012-aufwuchs,175+16,3,Im dritten Jahr nach der Geburt,… in the third year after birth
soep-is,soep-is-2012-aufwuchs,175+16,4,Im vierten bis sechsten Jahr nach der Geburt,… in the forth year after birth
soep-is,soep-is-2012-aufwuchs,175+16,5,Nach mehr als sechs Jahren nach der Geburt,… after more than six years after birth
soep-is,soep-is-2012-aufwuchs,175+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,176+,1,Ja,Yes
soep-is,soep-is-2012-aufwuchs,176+,2,Nein,No
soep-is,soep-is-2012-aufwuchs,176+,3,Kann ich nicht sagen,I can not tell
soep-is,soep-is-2012-aufwuchs,176+16,1,Ja,Yes
soep-is,soep-is-2012-aufwuchs,176+16,2,Nein,No
soep-is,soep-is-2012-aufwuchs,176+16,3,Kann ich nicht sagen,I can not tell
soep-is,soep-is-2012-aufwuchs,176+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,177+16,1,Volksschul-/ Hauptschulabschluss,"Secondary general school leaving certificate (""Hauptschulabschluss"")"
soep-is,soep-is-2012-aufwuchs,177+16,2,Mittlere Reife / Realschulabschluss,"Intermediate school leaving certificate (""Mittlere Reife"", ""Realschulabschluss"")"
soep-is,soep-is-2012-aufwuchs,177+16,3,Fachhochschulreife (Abschluss Fachoberschule),"Leaving certificate from a Fachoberschule (""Fachhochschulreife"" Â<U+0096> qualification for studies at a Fachhochschule)"
soep-is,soep-is-2012-aufwuchs,177+16,4,Abitur (Hochschulreife),"Upper secondary leaving certificate (""Abitur"")"
soep-is,soep-is-2012-aufwuchs,177+16,5,Anderer Schulabschluss,Other school leaving certificate (please state)
soep-is,soep-is-2012-aufwuchs,177+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,178+16,1,Hauptschule,Lower secondary school (Hauptschule)
soep-is,soep-is-2012-aufwuchs,178+16,2,Realschule,Intermediate secondary school (Realschule)
soep-is,soep-is-2012-aufwuchs,178+16,3,Gymnasium,Upper secondary school (Gymnasium)
soep-is,soep-is-2012-aufwuchs,178+16,4,Gesamtschule,Comprehensive school (Gesamtschule)
soep-is,soep-is-2012-aufwuchs,178+16,5,"Abendrealschule, Abendgymnasium",Evening intermediate / upper secondary school (Abendrealschule / Abendgymnasium)
soep-is,soep-is-2012-aufwuchs,178+16,6,Fachoberschule,Specialized upper secondary school (Fachoberschule)
soep-is,soep-is-2012-aufwuchs,178+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,179+,1,"Trifft nicht zu, war nur als Selbstständiger tätig","Does not apply, I have only been self-employed"
soep-is,soep-is-2012-aufwuchs,179+,2,"Trifft nicht zu, war überhaupt nicht erwerbstätig","Does not apply, I have not been employed"
soep-is,soep-is-2012-aufwuchs,18+16,1,Niedriger als 1.500 Euro,less than 1.500 euros
soep-is,soep-is-2012-aufwuchs,18+16,2,Höher als 1.500 Euro,more than 1.500 euros
soep-is,soep-is-2012-aufwuchs,18+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,180+,1,Voll erwerbstätig,Employed full-time
soep-is,soep-is-2012-aufwuchs,180+,2,In Teilzeitbeschäftigung,Employed part-time
soep-is,soep-is-2012-aufwuchs,180+,3,"In betrieblicher Ausbildung, Lehre oder betrieblicher Umschulung",Completing in-service training (betriebliche Ausbildung) / apprenticeship (Lehre) / in-service retraining (betriebliche Umschulung)
soep-is,soep-is-2012-aufwuchs,180+,4,Geringfügig oder unregelmäßig erwerbstätig,In marginal (geringfügig) or irregular employment (unregelmäßig erwerbstätig)
soep-is,soep-is-2012-aufwuchs,180+,5,In Altersteilzeit mit Arbeitszeit Null,"In partial retirement, phase with zero working hours (Altersteilzeit mit Arbeitszeit Null)"
soep-is,soep-is-2012-aufwuchs,180+,6,Freiwilliger Wehrdienst,Completing compulsory military service (Wehrpflicht)
soep-is,soep-is-2012-aufwuchs,180+,7,"Freiwilliges soziales/ökologisches Jahr, Bundesfreiwilligendienst","A voluntary social/
ecological year (freiwilliges soziales/ökologisches Jahr) or in the federal volunteer service (Bundesfreiwilligendienst)"
soep-is,soep-is-2012-aufwuchs,180+,8,Nicht erwerbstätig,Not employed
soep-is,soep-is-2012-aufwuchs,181+,0,Das wird mit Sicherheit nicht eintreten 0,This will certainly not happen 0
soep-is,soep-is-2012-aufwuchs,181+,1,10,"10,00%"
soep-is,soep-is-2012-aufwuchs,181+,2,20,"20,00%"
soep-is,soep-is-2012-aufwuchs,181+,3,30,"30,00%"
soep-is,soep-is-2012-aufwuchs,181+,4,40,"40,00%"
soep-is,soep-is-2012-aufwuchs,181+,5,50,"50,00%"
soep-is,soep-is-2012-aufwuchs,181+,6,60,"60,00%"
soep-is,soep-is-2012-aufwuchs,181+,7,70,"70,00%"
soep-is,soep-is-2012-aufwuchs,181+,8,80,"80,00%"
soep-is,soep-is-2012-aufwuchs,181+,9,90,"90,00%"
soep-is,soep-is-2012-aufwuchs,181+,10,Das wird mit Sicherheit eintreten 100,This will certainly happen 100
soep-is,soep-is-2012-aufwuchs,182+16,1,Industrie- und Werkmeister im Angestelltenverhältnis,"Industry or factory foreman / forewoman (Industriemeister, Werkmeister) in a salaried position"
soep-is,soep-is-2012-aufwuchs,182+16,2,Angestellte mit einfacher Tätigkeit ohne Ausbildungsabschluss,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) without completed training/education
soep-is,soep-is-2012-aufwuchs,182+16,3,Angestellte mit einfacher Tätigkeit mit Ausbildungsabschluss,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) with completed training/education
soep-is,soep-is-2012-aufwuchs,182+16,4,"Angestellte mit qualifizierter Tätigkeit wie zum Beispiel Sachbearbeiter, Buchhalter oder technischer Zeichner","Salaried employee engaged in skilled activities (Angestellter mit qualifizierter Tätigkeit) (e.g., executive officer, bookkeeper, technical draftsperson)"
soep-is,soep-is-2012-aufwuchs,182+16,5,"Angestellte mit hochqualifizierter Tätigkeit oder Leitungsfunktionen wie zum Beispiel wissenschaftlicher Mitarbeiter, Ingenieur oder Abteilungsleiter","Salaried employee engaged in highly skilled activities (Angestellter mit hochqualifizierter Tätigkeit) or managerial functions (e.g., scientist, engineer, department head)"
soep-is,soep-is-2012-aufwuchs,182+16,6,"Angestellte mit umfassenden Führungsaufgaben wie zum Beispiel Direktor, Geschäftsführer oder Vorstand größerer Betriebe und Verbände","Salaried employee with extensive managerial duties (Angestellter mit umfassenden Führungsaufgaben) (e.g., managing director, head of a large firm or association)"
soep-is,soep-is-2012-aufwuchs,182+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,183+16,1,Auszubildende im gewerblich-technischen Bereich,Apprentice / trainee in industry of technology
soep-is,soep-is-2012-aufwuchs,183+16,2,Auszubildende im kaufmännischen Bereich,Apprentice / trainee in trade and commerce
soep-is,soep-is-2012-aufwuchs,183+16,3,"Volontäre, Praktikanten und ähnliches","Volunteer, intern, etc"
soep-is,soep-is-2012-aufwuchs,183+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,184+16,1,Unbefristeten Arbeitsvertrag,Permanent contract
soep-is,soep-is-2012-aufwuchs,184+16,2,Befristetes Arbeitsverhältnis,Fixed-term contract
soep-is,soep-is-2012-aufwuchs,184+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,185+16,1,Ja,Yes
soep-is,soep-is-2012-aufwuchs,185+16,2,Nein,No
soep-is,soep-is-2012-aufwuchs,185+16,3,Weiß nicht,Don't know
soep-is,soep-is-2012-aufwuchs,185+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,185+173,1,Ja,Yes
soep-is,soep-is-2012-aufwuchs,185+173,2,Nein,No
soep-is,soep-is-2012-aufwuchs,185+173,3,Weiß nicht,Don't know
soep-is,soep-is-2012-aufwuchs,185+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,186+16,1,unter 5 Beschäftigte,fewer than 5 employees
soep-is,soep-is-2012-aufwuchs,186+16,2,5 bis 10 Beschäftigte,5-10 employees
soep-is,soep-is-2012-aufwuchs,186+16,3,11 bis unter 20 Beschäftigte,11-19 employees
soep-is,soep-is-2012-aufwuchs,186+16,4,20 bis unter 100 Beschäftigte,20-99 employees
soep-is,soep-is-2012-aufwuchs,186+16,5,100 bis unter 200 Beschäftigte,100-199 employees
soep-is,soep-is-2012-aufwuchs,186+16,6,200 bis unter 2000 Beschäftigte,"200-1,999 employees"
soep-is,soep-is-2012-aufwuchs,186+16,7,2000 und mehr Beschäftigte,2000 or more employees
soep-is,soep-is-2012-aufwuchs,186+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,187+16,1,Selbständige Landwirte,Self-employed farmer
soep-is,soep-is-2012-aufwuchs,187+16,2,"Freie Berufe, selbständige Akademiker",Freelance professional / self-employed academic
soep-is,soep-is-2012-aufwuchs,187+16,3,Sonstige Selbständige,Other self-employed people
soep-is,soep-is-2012-aufwuchs,187+16,4,Mithelfende Familienangehörige,Working for a self-employed relative
soep-is,soep-is-2012-aufwuchs,187+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,188+16,1,Keine,None
soep-is,soep-is-2012-aufwuchs,188+16,2,1-9,1-9
soep-is,soep-is-2012-aufwuchs,188+16,3,10 und mehr,more than 10
soep-is,soep-is-2012-aufwuchs,188+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,189+16,1,Ein paar Monate,A few months
soep-is,soep-is-2012-aufwuchs,189+16,2,Das nächste Jahr,The next year
soep-is,soep-is-2012-aufwuchs,189+16,3,Die nächsten 2 bis 5 Jahre,The next 2 to 5 years
soep-is,soep-is-2012-aufwuchs,189+16,4,Die nächsten 5 bis 10 Jahre,The next 5 to 10 years
soep-is,soep-is-2012-aufwuchs,189+16,5,Mehr als 10 Jahre,More than 10 years
soep-is,soep-is-2012-aufwuchs,189+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,19+16,1,Niedriger als 750 Euro,less than 750 euros
soep-is,soep-is-2012-aufwuchs,19+16,2,Höher als 750 Euro,more than 750 euros
soep-is,soep-is-2012-aufwuchs,19+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,190+16,1,Gar nicht,Not at all
soep-is,soep-is-2012-aufwuchs,190+16,2,Ein bisschen,A little
soep-is,soep-is-2012-aufwuchs,190+16,3,Gut,Good
soep-is,soep-is-2012-aufwuchs,190+16,4,Sehr gut,Very good
soep-is,soep-is-2012-aufwuchs,190+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,191+16,0,0 ganz und gar unwichtig,0 =  totally unimportant
soep-is,soep-is-2012-aufwuchs,191+16,1,1,1
soep-is,soep-is-2012-aufwuchs,191+16,2,2,2
soep-is,soep-is-2012-aufwuchs,191+16,3,3,3
soep-is,soep-is-2012-aufwuchs,191+16,4,4,4
soep-is,soep-is-2012-aufwuchs,191+16,5,5,5
soep-is,soep-is-2012-aufwuchs,191+16,6,6,6
soep-is,soep-is-2012-aufwuchs,191+16,7,7,7
soep-is,soep-is-2012-aufwuchs,191+16,8,8,8
soep-is,soep-is-2012-aufwuchs,191+16,9,9,9
soep-is,soep-is-2012-aufwuchs,191+16,10,10 sehr wichtig,10 = very important
soep-is,soep-is-2012-aufwuchs,191+16,11,trifft nicht zu,Does not apply
soep-is,soep-is-2012-aufwuchs,191+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,192+16,1,Mehr als 200 €,More than 200€
soep-is,soep-is-2012-aufwuchs,192+16,2,Genau 200 €,Exactly 200€
soep-is,soep-is-2012-aufwuchs,192+16,3,Weniger als 200 €,Less than 200€
soep-is,soep-is-2012-aufwuchs,192+16,4,Kann/Möchte ich nicht einschätzen,Can not / Prefer not to estimate
soep-is,soep-is-2012-aufwuchs,192+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,193+16,1,Sparbücher,Savings accounts
soep-is,soep-is-2012-aufwuchs,193+16,2,Festverzinsliche Wertpapiere,Fixed income securities
soep-is,soep-is-2012-aufwuchs,193+16,3,Aktien,Stocks
soep-is,soep-is-2012-aufwuchs,193+16,4,Kann/Möchte ich nicht einschätzen,Can not / Prefer not to estimate
soep-is,soep-is-2012-aufwuchs,193+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,194+173,1,"Ja, und zwar","Yes, in fact: "
soep-is,soep-is-2012-aufwuchs,194+173,2,"Nein, gab nichts dergleichen","No, there was nothing like that"
soep-is,soep-is-2012-aufwuchs,194+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,195+,1,positiv,positive
soep-is,soep-is-2012-aufwuchs,195+,2,neutral,neutral
soep-is,soep-is-2012-aufwuchs,195+,3,negativ,negative
soep-is,soep-is-2012-aufwuchs,196+16,0,0 Überhaupt nicht,0 Not at all
soep-is,soep-is-2012-aufwuchs,196+16,1,1,1
soep-is,soep-is-2012-aufwuchs,196+16,2,2,2
soep-is,soep-is-2012-aufwuchs,196+16,3,3,3
soep-is,soep-is-2012-aufwuchs,196+16,4,4,4
soep-is,soep-is-2012-aufwuchs,196+16,5,5,5
soep-is,soep-is-2012-aufwuchs,196+16,6,6,6
soep-is,soep-is-2012-aufwuchs,196+16,7,7,7
soep-is,soep-is-2012-aufwuchs,196+16,8,8,8
soep-is,soep-is-2012-aufwuchs,196+16,9,9,9
soep-is,soep-is-2012-aufwuchs,196+16,10,10 Voll und ganz,10 Absolutely
soep-is,soep-is-2012-aufwuchs,196+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,197+16,0,0 trifft überhaupt nicht zu,0 Does not apply at all
soep-is,soep-is-2012-aufwuchs,197+16,1,1,1
soep-is,soep-is-2012-aufwuchs,197+16,2,2,2
soep-is,soep-is-2012-aufwuchs,197+16,3,3,3
soep-is,soep-is-2012-aufwuchs,197+16,4,4,4
soep-is,soep-is-2012-aufwuchs,197+16,5,5,5
soep-is,soep-is-2012-aufwuchs,197+16,6,6,6
soep-is,soep-is-2012-aufwuchs,197+16,7,7,7
soep-is,soep-is-2012-aufwuchs,197+16,8,8,8
soep-is,soep-is-2012-aufwuchs,197+16,9,9,9
soep-is,soep-is-2012-aufwuchs,197+16,10,10 trifft voll und ganz zu,10 Fully applies
soep-is,soep-is-2012-aufwuchs,197+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,198+16,1,"Ja, und zwar:","Yes, in fact: "
soep-is,soep-is-2012-aufwuchs,198+16,2,"Nein, gab nichts dergleichen  ","No, there was nothing like that"
soep-is,soep-is-2012-aufwuchs,198+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,199+16,1,Ja,Yes
soep-is,soep-is-2012-aufwuchs,199+16,2,"Nein, gab nichts dergleichen  ","No, there was nothing like that"
soep-is,soep-is-2012-aufwuchs,199+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,2+,1,männlich,Male
soep-is,soep-is-2012-aufwuchs,2+,2,weiblich,Female
soep-is,soep-is-2012-aufwuchs,20+16,1,Niedriger als 2.500 Euro,less than 2.500 euros
soep-is,soep-is-2012-aufwuchs,20+16,2,Höher als 2.500 Euro,more than 2.500 euros
soep-is,soep-is-2012-aufwuchs,20+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,200+,1,1 stimme überhaupt nicht zu,1 Strongly disagree
soep-is,soep-is-2012-aufwuchs,200+,2,2,2
soep-is,soep-is-2012-aufwuchs,200+,3,3,3
soep-is,soep-is-2012-aufwuchs,200+,4,4,4
soep-is,soep-is-2012-aufwuchs,200+,5,5,5
soep-is,soep-is-2012-aufwuchs,200+,6,6,6
soep-is,soep-is-2012-aufwuchs,200+,7,7 stimme voll und ganz zu,7 Strongly agree
soep-is,soep-is-2012-aufwuchs,201+,1,Auf dem Weg zur Arbeit / Studium oder von dort nach Hause,On the way to work/ study or way home from there
soep-is,soep-is-2012-aufwuchs,201+,2,Auf dem Weg zur Freizeitaktivität oder von dort nach Hause,"Way to spare time activity, way back home"
soep-is,soep-is-2012-aufwuchs,201+,3,Arbeiten / Studieren,Working / studying
soep-is,soep-is-2012-aufwuchs,201+,4,Einkaufen,Shopping
soep-is,soep-is-2012-aufwuchs,201+,5,Essen zubereiten,Preparing food
soep-is,soep-is-2012-aufwuchs,201+,6,Essen,Eating
soep-is,soep-is-2012-aufwuchs,201+,7,Waschen / Duschen / Baden / Zähne putzen / Anziehen / Sich fertig machen,Washing / showering / bathing / brushing teeth / dressing oneself / getting ready
soep-is,soep-is-2012-aufwuchs,201+,8,Hausarbeit erledigen,Doing housework
soep-is,soep-is-2012-aufwuchs,201+,9,Kind(er) betreuen / auch bringen oder abholen der Kinder zur Schule oder Freizeitaktivität,"Taking care of children, taking them to school, activities"
soep-is,soep-is-2012-aufwuchs,201+,10,Mit Freunden treffen,Meet friends
soep-is,soep-is-2012-aufwuchs,201+,11,Ausruhen / ein Nickerchen machen,"Resting, taking a nap"
soep-is,soep-is-2012-aufwuchs,201+,12,Entspannen,Relaxing
soep-is,soep-is-2012-aufwuchs,201+,13,Intime Beziehungen,Intimate relations
soep-is,soep-is-2012-aufwuchs,201+,14,"Beten, Gottesdienst besuchen, Meditieren","Worship, meditation"
soep-is,soep-is-2012-aufwuchs,201+,15,Fernsehen,Watching TV
soep-is,soep-is-2012-aufwuchs,201+,16,Lesen,Reading
soep-is,soep-is-2012-aufwuchs,201+,17,Beschäftigung mit Computer oder Internet,Computer/ internet
soep-is,soep-is-2012-aufwuchs,201+,18,Telefonieren,On the phone
soep-is,soep-is-2012-aufwuchs,201+,19,Sport treiben,Doing sports
soep-is,soep-is-2012-aufwuchs,201+,20,Andere Aktivität,Other activity
soep-is,soep-is-2012-aufwuchs,201+,21,Ende des Tages: Beginn der Nachtruhe bzw. 24Uhr,End of the day: beginning of the night rest or 12am.
soep-is,soep-is-2012-aufwuchs,202+,1,Auf dem Weg zur Arbeit / Studium oder von dort nach Hause,On the way to work/ study or way home from there
soep-is,soep-is-2012-aufwuchs,202+,2,Auf dem Weg zur Freizeitaktivität oder von dort nach Hause,"Way to spare time activity, way back home"
soep-is,soep-is-2012-aufwuchs,202+,3,Arbeiten / Studieren,Working / studying
soep-is,soep-is-2012-aufwuchs,202+,4,Einkaufen,Shopping
soep-is,soep-is-2012-aufwuchs,202+,5,Essen zubereiten,Preparing food
soep-is,soep-is-2012-aufwuchs,202+,6,Essen,Eating
soep-is,soep-is-2012-aufwuchs,202+,7,Waschen / Duschen / Baden / Zähne putzen / Anziehen / Sich fertig machen,Washing / showering / bathing / brushing teeth / dressing oneself / getting ready
soep-is,soep-is-2012-aufwuchs,202+,8,Hausarbeit erledigen,Doing housework
soep-is,soep-is-2012-aufwuchs,202+,9,Kind(er) betreuen / auch bringen oder abholen der Kinder zur Schule oder Freizeitaktivität,"Taking care of children, taking them to school, activities"
soep-is,soep-is-2012-aufwuchs,202+,10,Mit Freunden treffen,Meet friends
soep-is,soep-is-2012-aufwuchs,202+,11,Ausruhen / ein Nickerchen machen,"Resting, taking a nap"
soep-is,soep-is-2012-aufwuchs,202+,12,Entspannen,Relaxing
soep-is,soep-is-2012-aufwuchs,202+,13,Intime Beziehungen,Intimate relations
soep-is,soep-is-2012-aufwuchs,202+,14,"Beten, Gottesdienst besuchen, Meditieren","Worship, meditation"
soep-is,soep-is-2012-aufwuchs,202+,15,Fernsehen,Watching TV
soep-is,soep-is-2012-aufwuchs,202+,16,Lesen,Reading
soep-is,soep-is-2012-aufwuchs,202+,17,Beschäftigung mit Computer oder Internet,Computer/ internet
soep-is,soep-is-2012-aufwuchs,202+,18,Telefonieren,On the phone
soep-is,soep-is-2012-aufwuchs,202+,19,Sport treiben,Doing sports
soep-is,soep-is-2012-aufwuchs,202+,20,Andere Aktivitäten,Other activity
soep-is,soep-is-2012-aufwuchs,202+,21,Ende des Tages: Beginn der Nachtruhe,End of the day: beginning of the night rest or 12am.
soep-is,soep-is-2012-aufwuchs,203+,1,eher angenehm,rather pleasant
soep-is,soep-is-2012-aufwuchs,203+,2,eher unangenehm,rather unpleasant
soep-is,soep-is-2012-aufwuchs,203+,999,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,204+,1,Zu Hause,At home
soep-is,soep-is-2012-aufwuchs,204+,2,Auf der Arbeit,At work
soep-is,soep-is-2012-aufwuchs,204+,3,Woanders,Somewhere else
soep-is,soep-is-2012-aufwuchs,204+,999,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,205+173,1,Gar nicht 1,1 Not at all
soep-is,soep-is-2012-aufwuchs,205+173,2,2,2
soep-is,soep-is-2012-aufwuchs,205+173,3,3,3
soep-is,soep-is-2012-aufwuchs,205+173,4,4,4
soep-is,soep-is-2012-aufwuchs,205+173,5,5,5
soep-is,soep-is-2012-aufwuchs,205+173,6,6,6
soep-is,soep-is-2012-aufwuchs,205+173,7,Sehr stark 7,7 Very strongly
soep-is,soep-is-2012-aufwuchs,205+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,206+207,1,"Ja, und zwar","Yes, in fact: "
soep-is,soep-is-2012-aufwuchs,206+207,2,"Nein, keine Erläuterungen","No, no explanation"
soep-is,soep-is-2012-aufwuchs,206+207,-2,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,208+173,0,0 ganz und gar unwichtig,0 =  completely unimportant
soep-is,soep-is-2012-aufwuchs,208+173,1,1,1
soep-is,soep-is-2012-aufwuchs,208+173,2,2,2
soep-is,soep-is-2012-aufwuchs,208+173,3,3,3
soep-is,soep-is-2012-aufwuchs,208+173,4,4,4
soep-is,soep-is-2012-aufwuchs,208+173,5,5,5
soep-is,soep-is-2012-aufwuchs,208+173,6,6,6
soep-is,soep-is-2012-aufwuchs,208+173,7,7,7
soep-is,soep-is-2012-aufwuchs,208+173,8,8,8
soep-is,soep-is-2012-aufwuchs,208+173,9,9,9
soep-is,soep-is-2012-aufwuchs,208+173,10,10 ganz und gar wichtig,10 = completely important
soep-is,soep-is-2012-aufwuchs,208+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,209+173,1,1 Stimme überhaupt nicht zu,1 Strongly disagree
soep-is,soep-is-2012-aufwuchs,209+173,2,2,2
soep-is,soep-is-2012-aufwuchs,209+173,3,3,3
soep-is,soep-is-2012-aufwuchs,209+173,4,4,4
soep-is,soep-is-2012-aufwuchs,209+173,5,5,5
soep-is,soep-is-2012-aufwuchs,209+173,6,6,6
soep-is,soep-is-2012-aufwuchs,209+173,7,7 Stimme voll und ganz zu,7 Strongly agree
soep-is,soep-is-2012-aufwuchs,209+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,21+16,1,Niedriger als 3.500 Euro,less than 3.500 euros
soep-is,soep-is-2012-aufwuchs,21+16,2,Höher als 3.500 Euro,more than 3.500 euros
soep-is,soep-is-2012-aufwuchs,21+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,210+173,1,1 sehr schlecht,1 very bad
soep-is,soep-is-2012-aufwuchs,210+173,2,2,2
soep-is,soep-is-2012-aufwuchs,210+173,3,3,3
soep-is,soep-is-2012-aufwuchs,210+173,4,4,4
soep-is,soep-is-2012-aufwuchs,210+173,5,5,5
soep-is,soep-is-2012-aufwuchs,210+173,6,6,6
soep-is,soep-is-2012-aufwuchs,210+173,7,7 sehr gut,7 very good
soep-is,soep-is-2012-aufwuchs,210+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,211+212,1,Nie,Never
soep-is,soep-is-2012-aufwuchs,211+212,2,Selten,Rarely
soep-is,soep-is-2012-aufwuchs,211+212,3,Manchmal,Sometimes
soep-is,soep-is-2012-aufwuchs,211+212,4,Oft,Often
soep-is,soep-is-2012-aufwuchs,211+212,5,Immer,Always
soep-is,soep-is-2012-aufwuchs,211+212,-2,trifft nicht zu,Does not apply
soep-is,soep-is-2012-aufwuchs,211+212,-1,keine Angabe,Can not / Prefer not to estimate
soep-is,soep-is-2012-aufwuchs,213+16,1,1 trifft überhaupt nicht zu,1 Does not apply at all
soep-is,soep-is-2012-aufwuchs,213+16,2,2,2
soep-is,soep-is-2012-aufwuchs,213+16,3,3,3
soep-is,soep-is-2012-aufwuchs,213+16,4,4,4
soep-is,soep-is-2012-aufwuchs,213+16,5,5,5
soep-is,soep-is-2012-aufwuchs,213+16,6,6,6
soep-is,soep-is-2012-aufwuchs,213+16,7,7 trifft voll und ganz zu,7 Fully applies
soep-is,soep-is-2012-aufwuchs,213+16,-1,Keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,213+173,1,1 trifft überhaupt nicht zu,1 Does not apply at all
soep-is,soep-is-2012-aufwuchs,213+173,2,2,2
soep-is,soep-is-2012-aufwuchs,213+173,3,3,3
soep-is,soep-is-2012-aufwuchs,213+173,4,4,4
soep-is,soep-is-2012-aufwuchs,213+173,5,5,5
soep-is,soep-is-2012-aufwuchs,213+173,6,6,6
soep-is,soep-is-2012-aufwuchs,213+173,7,7 trifft voll und ganz zu,7 Fully applies
soep-is,soep-is-2012-aufwuchs,213+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,214+173,1,"Ja, schon davon gehört","Yes, I have already heard of it"
soep-is,soep-is-2012-aufwuchs,214+173,2,"Nein, noch nichts davon gehört","No, have not heard of it yet"
soep-is,soep-is-2012-aufwuchs,214+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,215+173,1,große Sorgen,Very conerned
soep-is,soep-is-2012-aufwuchs,215+173,2,einige Sorgen,Somewhat concerned
soep-is,soep-is-2012-aufwuchs,215+173,3,keine Sorgen,Not at all concerned
soep-is,soep-is-2012-aufwuchs,215+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,216+173,0,0 sehr niedrig,0 very low
soep-is,soep-is-2012-aufwuchs,216+173,1,1,1
soep-is,soep-is-2012-aufwuchs,216+173,2,2,2
soep-is,soep-is-2012-aufwuchs,216+173,3,3,3
soep-is,soep-is-2012-aufwuchs,216+173,4,4,4
soep-is,soep-is-2012-aufwuchs,216+173,5,5 mittel,5 moderate
soep-is,soep-is-2012-aufwuchs,216+173,6,6,6
soep-is,soep-is-2012-aufwuchs,216+173,7,7,7
soep-is,soep-is-2012-aufwuchs,216+173,8,8,8
soep-is,soep-is-2012-aufwuchs,216+173,9,9,9
soep-is,soep-is-2012-aufwuchs,216+173,10,10 sehr hoch,10 very high
soep-is,soep-is-2012-aufwuchs,216+173,-1,keine Angabe,No answer
soep-is,soep-is-2012-aufwuchs,217+173,1,stimme voll und ganz zu,totally agree
soep-is,soep-is-2012-aufwuchs,217+173,2,stimme eher zu,rather agree
soep-is,soep-is-2012-aufwuchs,217+173,3,weder noch,neither agree nor disagree
