study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,range,concept,filter,goto,description,scripternotes,number,old.template.id,dataset,var_fix
soep-is,soep-is-2011,Q243.03,pfs022,342,2010 im Monat,,2010 a month,,int,,,pfs022,,,,,Q243,,,
soep-is,soep-is-2011,Q243.04,,343,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Kind wurde geboren,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? A child was born,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.04,pfs033,343,2011 im Monat,,2011 a month,,int,,,pfs033,,,,,Q243,,,
soep-is,soep-is-2011,Q243.04,pfs032,343,2010 im Monat,,2010 a month,,int,,,pfs032,,,,,Q243,,,
soep-is,soep-is-2011,Q243.05,,344,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Kind kam in den Haushalt,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? A child entered the household,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.05,pfs113,344,2011 im Monat,,2011 a month,,int,,,pfs113,,,,,Q243,,,
soep-is,soep-is-2011,Q243.05,pfs112,344,2010 im Monat,,2010 a month,,int,,,pfs112,,,,,Q243,,,
soep-is,soep-is-2011,Q243.06,,345,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Sohn/Tochter hat den Haushalt verlassen,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? My son / daughter moved out,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.06,pfs043,345,2011 im Monat,,2011 a month,,int,,,pfs043,,,,,Q243,,,
soep-is,soep-is-2011,Q243.06,pfs042,345,2010 im Monat,,2010 a month,,int,,,pfs042,,,,,Q243,,,
soep-is,soep-is-2011,Q243.07,,346,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Habe mich von Ehepartner/Lebenspartner getrennt,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? Separated from my spouse / partner,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.07,pfs053,346,2011 im Monat,,2011 a month,,int,,,pfs053,,,,,Q243,,,
soep-is,soep-is-2011,Q243.07,pfs052,346,2010 im Monat,,2010 a month,,int,,,pfs052,,,,,Q243,,,
soep-is,soep-is-2011,Q243.08,,347,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Wurde geschieden,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? Divorced,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.08,pfs063,347,2011 im Monat,,2011 a month,,int,,,pfs063,,,,,Q243,,,
soep-is,soep-is-2011,Q243.08,pfs062,347,2010 im Monat,,2010 a month,,int,,,pfs062,,,,,Q243,,,
soep-is,soep-is-2011,Q243.09,,348,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Ehepartner/Lebenspartner ist verstorben",Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? My spouse / partner died,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.09,pfs073,348,2011 im Monat,,2011 a month,,int,,,pfs073,,,,,Q243,,,
soep-is,soep-is-2011,Q243.09,pfs072,348,2010 im Monat,,2010 a month,,int,,,pfs072,,,,,Q243,,,
soep-is,soep-is-2011,Q243.10,,349,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Vater ist verstorben",Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? Father died,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.10,pfs083,349,2011 im Monat,,2011 a month,,int,,,pfs083,,,,,Q243,,,
soep-is,soep-is-2011,Q243.10,pfs082,349,2010 im Monat,,2010 a month,,int,,,pfs082,,,,,Q243,,,
soep-is,soep-is-2011,Q243.11,,350,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Mutter ist verstorben",Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? Mother died,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.11,pfs093,350,2011 im Monat,,2011 a month,,int,,,pfs093,,,,,Q243,,,
soep-is,soep-is-2011,Q243.11,pfs092,350,2010 im Monat,,2010 a month,,int,,,pfs092,,,,,Q243,,,
soep-is,soep-is-2011,Q243.12,,351,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Kind ist verstorben",Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? Child died,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.12,pfs123,351,2011 im Monat,,2011 a month,,int,,,pfs123,,,,,Q243,,,
soep-is,soep-is-2011,Q243.12,pfs122,351,2010 im Monat,,2010 a month,,int,,,pfs122,,,,,Q243,,,
soep-is,soep-is-2011,Q243.13,,352,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Andere Person, die im Haushalt lebte, ist verstorben",Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? Another person who lives in the household died,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.13,pfs133,352,2011 im Monat,,2011 a month,,int,,,pfs133,,,,,Q243,,,
soep-is,soep-is-2011,Q243.13,pfs132,352,2010 im Monat,,2010 a month,,int,,,pfs132,,,,,Q243,,,
soep-is,soep-is-2011,Q243.14,,353,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Sonstige",Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),What year and month did this change in your family situation take place? Other,Input not later than date of request! (show current month / 2011),txt,,,,,,,,Q243,,,
soep-is,soep-is-2011,Q243.14,pfs103,353,2011 im Monat,,2011 a month,,int,,,pfs103,,,,,Q243,,,
soep-is,soep-is-2011,Q243.14,pfs102,353,2010 im Monat,,2010 a month,,int,,,pfs102,,,,,Q243,,,
soep-is,soep-is-2011,Q244,,354,"Zum Schluss möchten wir Sie noch nach Ihrer Zufriedenheit mit Ihrem Leben insgesamt fragen. Antworten Sie bitte anhand der folgenden Skala, bei der ""0"" ganz und gar unzufrieden, ""10"" ganz und gar zufrieden bedeutet. Mit den Werten zwischen ""0"" und ""10"" können Sie Ihre Meinung abstufen. Wie zufrieden sind Sie gegenwärtig, alles in allem, mit Ihrem Leben?",Liste 244 vorlegen!,"In conclusion we would like to ask you about your satisfaction with your life in general.  Please answer on a scale from 0 (completely dissatisfied) to 10 (completely satisfied). How satisfied are you with your life, all things considered?",Show list 244!,cat,113+41,,pzule1,,,,,Q244,,,
soep-is,soep-is-2011,Q245,,355,"Und was glauben Sie, wie zufrieden werden Sie wohl in fünf Jahren sein? Antworten Sie bitte wieder anhand der folgenden Skala, bei der ""0"" ganz und gar unzufrieden, ""10"" ganz und gar zufrieden bedeutet. Mit den Werten zwischen ""0"" und ""10"" können Sie Ihre Meinung abstufen.",Liste 244 vorlegen!,What do you think how satisfied will you be in five years? Please answer on a scale from 0 (completely dissatisfied) to 10 (completely satisfied). With the values in between you can make your estimate.,Show list 244!,cat,113+41,,pzule2,,,,,Q245,,,
soep-is,soep-is-2012-aufwuchs,Wum1,,1576,Gab es bei der Kontaktaufnahme mit dem Haushalt Sprachprobleme?,,Were there language problems when contacting the household?,,cat,116+,,wuma1,,,,,Wum1,,,
soep-is,soep-is-2012-aufwuchs,Wum2,,1577,Wie würden Sie allgemein die Wohnlage beschreiben?,,How would you generally describe the living situation?,,cat,117+16,,wuma2,,,,,Wum2,,,
soep-is,soep-is-2012-aufwuchs,Wum3,,1578,Und wie würden Sie den Zustand des Hauses bewerten?,,And how would you rate the condition of the house?,,cat,117+16,,wuma3,,,,,Wum3,,,
soep-is,soep-is-2012-aufwuchs,Wum4,,1579,Gab es besondere Zugangsprobleme zum Haus?,Mehrfachnennung möglich!,Were there particular access difficulties to the house?,Multiple responses possible!,txt,,,,,,,,Wum4,,,
soep-is,soep-is-2012-aufwuchs,Wum4,1,1579,"Ja, durch Absperrungen oder verschlossenen Hauszugang",,"Yes, by means of barriers or locked house entrance",,bin,,,,,,,,Wum4,,,
soep-is,soep-is-2012-aufwuchs,Wum4,2,1579,"Ja, durch Sprechanlage",,"Yes, by intercommunication system",,bin,,,,,,,,Wum4,,,
soep-is,soep-is-2012-aufwuchs,Wum4,3,1579,"Ja, sonstiges",,"Yes, other",,bin,,,,,,,,Wum4,,,
soep-is,soep-is-2012-aufwuchs,Wum4,5,1579,Nein,,No,,bin,,,,,,,,Wum4,,,
soep-is,soep-is-2012-aufwuchs,Wum4,6,1579,keine Angabe,,No answer,,bin,,,,,,,,Wum4,,,
soep-is,soep-is-2012-aufwuchs,Wum4,4,1579,"Ja, sonstiges, und zwar:",,"Yes, other, in fact:",,chr,,,,,,,,Wum4,,,
soep-is,soep-is-2012-aufwuchs,Wum5,,1580,Welche Gefühle hatten Sie hier in der Straße oder in der Wohnlage? Wie empfanden Sie es hier?,,What were your feelings here in the street or in the residential area? How did you feel here?,,cat,118+16,,wuma5,,,,,Wum5,,,
soep-is,soep-is-2012-aufwuchs,Wum6,,1581,Wie würden Sie die Wohngegend hier beschreiben?,,How would you describe the neighborhood?,How would you describe the neighborhood?,cat,469+,,wuma6,,,,,,,,
soep-is,soep-is-2012-aufwuchs,Wum7,,1582,Um welchen Haustyp handelt es sich?,,What kind of building is it?,,cat,123+16,,wuma7,,,,,,,,
soep-is,soep-is-2012-aufwuchs,A000C,,366,Bitte machen Sie Angaben zur Zielperson,Bitte vergessen Sie nicht diese Angaben auch ins Adressprotokoll zu übertragen!,Please give details of the target person,Please remember to transfer this information to the address protocol!,txt,,,,,,,,A000C,,,
soep-is,soep-is-2012-aufwuchs,A000C,1,366,Personennummer laut Adressprotokoll,,Person number according to address protocol,,int,,,,,,,,A000C,,,
soep-is,soep-is-2012-aufwuchs,A000C,2,366,Vorname,,Prename,,chr,,,,,,,,A000C,,,
soep-is,soep-is-2012-aufwuchs,A000C,lsex,366,Geschlecht,,Sex,,cat,2+,,lsex,,,,,A000C,,,
soep-is,soep-is-2012-aufwuchs,A000C,lgeb,366,Geburtsjahr,,Year of birth,,int,,,lgeb,,,,,A000C,,,
soep-is,soep-is-2012-aufwuchs,A000C,lgebmo,366,Geburtsmonat,,Month of birth,,int,,,lgebmo,,,,,A000C,,,
soep-is,soep-is-2012-aufwuchs,Q5,,368,"Ist die Befragungsperson der Haushaltsvorstand beziehungsweise die Person, die die Fragen zum Haushalt beantwortet?","Die Fragen zum Haushalt soll diejenige Person beantworten, die am besten über die Belange des Gesamthaushalts und der anderen Haushaltsmitglieder Auskunft geben kann. Sofern bekannt, ist diese Person im Adressprotokoll mit * gekennzeichnet. Wichtiger Hinweis: Die Fragen zum Haushalt müssen grundsätzlich für jeden Haushalt einmal ausgefüllt werden. Ohne diesen Fragenteil sind alle anderen Fragen für die Datenauswertung unbrauchbar!","Is the respondent the head of household, the person who answers the questions about the household?","The questions on the household should be answered by the person who knows most about the concerns of the total household and the other household members. If known, that person is identified  with  * in the address protocol. Important Note: The questions on the household have to be filled out once for each household. Without this question part all other questions would be useless for data analysis!",cat,120+,,hh,,,,,Q5,,,
soep-is,soep-is-2012-aufwuchs,Q7,,371,Zunächst geht es um Fragen zu Ihrem Haushalt als Ganzen.,,"First, there are questions about your household as a whole.",,txt,,,q006,,,,,Q7,,,
soep-is,soep-is-2012-aufwuchs,Q9,,6,Seit wann leben Sie in dieser Wohnung?,,When did you move into this dwelling?,,txt,,,,,,,,Q9,,,
soep-is,soep-is-2012-aufwuchs,Q9,hwj,6,Jahr,,Year,,int,,,hwj,,,,,Q9,,,
soep-is,soep-is-2012-aufwuchs,Q9,hwm,6,Monat,,Month,,int,,,hwm,,,,,Q9,,,
soep-is,soep-is-2012-aufwuchs,Q10,,372,"Was ist das für ein Haustyp, in dem Sie hier wohnen?",Liste 10 vorlegen,What kind of a house is it in which you live?,Show list 10,cat,123+16,,hhtyp,,,,,Q10,,,
soep-is,soep-is-2012-aufwuchs,Q11,,373,"Handelt es sich um ein Wohnheim, eine Pension oder eine ähnliche Unterkunft?",,"Is it a rooming house, guesthouse, or a similar accommodation?",,cat,124+16,,hheim,,,"Researcher Notes:
Quelle:
**Core2011 Items reduziert
",,Q11,,,
soep-is,soep-is-2012-aufwuchs,Q12,,374,"Wann wurde das Haus, in dem Ihre Wohnung liegt, etwa erbaut?",Liste 12 vorlegen,"When, approximately, was the house built in which your flat is located?",Show list 12,cat,125+16,,hwohn09,,,,,Q12,,,
soep-is,soep-is-2012-aufwuchs,Q13.1972,,10,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,7+,,hwohn09a,Q12;HWOHN09=4,,,,Q13,,,
soep-is,soep-is-2012-aufwuchs,Q13.1981,,11,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,8+,,hwohn09a,Q12;HWOHN09=5,,,,Q13,,,
soep-is,soep-is-2012-aufwuchs,Q13.1991,,12,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,9+,,hwohn09a,Q12;HWOHN09=6,,,,Q13,,,
soep-is,soep-is-2012-aufwuchs,Q13.2001,,375,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,126+,,hwohn09a,Q12;HWOHN09=7,,,,Q13,,,
soep-is,soep-is-2012-aufwuchs,Q13.2011,,376,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,127+,,hwohn09a,Q12;HWOHN09=7,,,,Q13,,,
soep-is,soep-is-2012-aufwuchs,Q14,,377,Wie groß ist die Wohnfläche dieser Wohnung insgesamt? Qm,,How large is the total living space in this flat? Sqm,,int,,,hqm,,,,,Q14,,,
soep-is,soep-is-2012-aufwuchs,Q18,,378,Bewohnen Sie diese Wohnung als...,,Do you live in the flat as …?,,cat,128+,,hm01,,,"Researcher Notes:
Codierung:
**Wohnheim = 4
",,Q18,,,
soep-is,soep-is-2012-aufwuchs,Q19,,30,Wie hoch ist derzeit die monatliche Miete?,,What is your monthly rent?,,txt,,,,"Q18;HM01=1,2",,"Researcher Notes:
Codierung:
**Var1 = HM04
**Var2 = HM05 (1)
**
**Nachfrage bei unplausibler Miethöhe oder Mehrfachnennung",,Q19,,,
soep-is,soep-is-2012-aufwuchs,Q19,hm04,30,Euro,,Euros,,int,,,hm04,,,,,Q19,,,
soep-is,soep-is-2012-aufwuchs,Q19,hm05,30,Zahle keine Miete,,I don't pay rent,,bin,,,hm05,,,,,Q19,,,
soep-is,soep-is-2012-aufwuchs,Q20,,379,Sind die Heizkosten im Mietpreis enthalten?,In der Regel ist in den Heizkosten das Warmwasser enthalten,Is heat included in your rent?,As a general rule heating costs include domestic hot water,cat,1+16,,hm06,Q19:HM04=1,,,,Q20,,,
soep-is,soep-is-2012-aufwuchs,Q21,,380,"Sind im Mietpreis andere Umlagen, z.B. für Wasser oder Müllabfuhr, teilweise oder ganz enthalten?",,"Are other costs included in your rent, either partially or completely, for example, water, garbage removal, etc.?",,cat,15+16,,hm09,Q19:HM04=1,,"Researcher Notes:
Codierung;
**Weiß nicht = -1
",,Q21,,,
soep-is,soep-is-2012-aufwuchs,Q22,,33,Und in welcher Höhe sind diese Umlagen im Mietpreis enthalten?,,And to what extent are these contributions included in the rent?,,txt,,,,"Q21;HM09=1,2",,"Researcher Notes:
Codierung:
**Var2 = HM11= 1
**
**Nachfrage bei unplausibler Höhe oder Mehrfachnennung
",,Q22,,,
soep-is,soep-is-2012-aufwuchs,Q22,hm10,33,Euro im Monat,,Euro per month,,int,,,hm10,,,,,Q22,,,
soep-is,soep-is-2012-aufwuchs,Q22,hm11,33,weiß nicht,,don't know,,bin,,,hm11,,,,,Q22,,,
soep-is,soep-is-2012-aufwuchs,Q23,,34,Können Sie die Miete für Ihre Wohnung ohne Probleme zahlen?,,Are you able to pay the rent without any difficulty?,,cat,1+16,,hzahl,Q19:HM04=1,,,,Q23,,,
soep-is,soep-is-2012-aufwuchs,Q24,,35,Haben Sie für diese selbstgenutzte Wohnung beziehungsweise dieses selbstgenutzte Haus noch finanzielle Belastungen aus der Abzahlung von Hypotheken oder Bauspardarlehen?,,"Do you still have financial obligations, for example loans or a mortgage, for this house or flat in which you live?",,cat,1+16,,he01,Q18;HM01=3,,,,Q24,,,
soep-is,soep-is-2012-aufwuchs,Q2501,,381,"Wie hoch ist der monatliche Betrag für Tilgung und Zinsen, den Sie für dieses Darlehen zu leisten haben? Tilgung und Zinsen Euro pro Monat:",Falls Betrag nicht genau bekannt: bitte schätzen!,How high are the monthly loan or mortgage payments including interest for this loan or mortgage?,"If you don't know the exact amount, please estimate!",int,,,he02,Q24;HE01=1,,"Researcher Notes:
Nachfrage bei unplausibler Höhe",,Q2501,,,
soep-is,soep-is-2012-aufwuchs,Q2502,,37,Können Sie die Tilgung beziehungsweise Zinsen für Ihr Wohnungseigentum ohne Probleme zahlen?,,Are you able to pay the mortgage/interest payments without any difficulty?,,cat,1+16,,hzahl1,Q24;HE01=1,,"Researcher Notes:
Codierung:
**Trifft nicht zu, zahle keine = Code 3",,Q2502,,,
soep-is,soep-is-2012-aufwuchs,Q26,,382,"Wie hoch waren die Instandhaltungskosten für diese Wohnung beziehungsweise dieses Haus, die Ihnen im Jahr 2011 entstanden sind?","Falls Betrag nicht genau bekannt: bitte schätzen!

Wenn Sie erst 2012 Eigentümer dieser Wohnung geworden sind, geben Sie bitte ""0"" ein.","How high were the maintenance costs for this flat / house in the last calendar year, 2011?","If you don't know the exact amount, please estimate! If you have become the owner of this property in 2012, please enter ""0"".",txt,,,,Q18;HM01=3,,"Researcher Notes:
Nachfrage beu unplausibler Höhe",,Q26,,,
soep-is,soep-is-2012-aufwuchs,Q26,he03,382,Euro im Jahr,,euros per year,,int,,,he03,,,,,Q26,,,
soep-is,soep-is-2012-aufwuchs,Q27,,383,"Und wie hoch waren 2011 die Kosten für Wasser, Müllabfuhr, Straßenreinigung usw.?","Falls Betrag nicht genau bekannt: bitte schätzen!

Wenn Sie erst 2012 Eigentümer dieser Wohnung geworden sind, geben Sie bitte ""0"" ein.","And what were the costs of water, garbage removal, street cleaning, etc. in 2011?","If you don't know the exact amount, please estimate! If you have become the owner of this property in 2012, please enter ""0"".",txt,,,,Q18;HM01=3,,"Researcher Notes:
Nachfrage bei unplausibler Höhe",,Q27,,,
soep-is,soep-is-2012-aufwuchs,Q27,he05,383,Euro im Jahr,,euros per year,,int,,,he05,,,,,Q27,,,
soep-is,soep-is-2012-aufwuchs,Q28,,40,"Zahlen Sie Wohngeld, also Umlagekosten für die Hausverwaltung usw.?",,Do you pay fees for the management or maintenance etc. of the building?,,cat,1+16,,he06,Q18;HM01=3,,,,Q28,,,
soep-is,soep-is-2012-aufwuchs,Q29,,41,Wie viel Wohngeld müssen Sie pro Monat entrichten?,,How much do you pay per month in management / maintenance fees?,,txt,,,,Q28;HE06=1,,"Researcher Notes:
Nachfrage bei unplausibler Höhe",,Q29,,,
soep-is,soep-is-2012-aufwuchs,Q29,h307,41,Euro pro Monat,,euros per month,,int,,,he07,,,,,Q29,,,
soep-is,soep-is-2012-aufwuchs,Q30,,384,Hatten Sie oder jemand anderer in Ihrem Haushalt im Jahr 2011 Einnahmen aus Vermietung oder Verpachtung von Grund- oder Hausbesitz?,"Gemeint sind tatsächliche Einnahmen, nicht der steuerliche Wert für Eigennutzung.","Did you or someone in your household receive income from letting or leasing
land or house / flat in year 2011?","What is referred to by this is the actual income, not the tax value for own use.",cat,1+16,,hverm1,,,,,Q30,,,
soep-is,soep-is-2012-aufwuchs,Q31,,385,"Wie hoch waren die Gesamteinnahmen aus Vermietung und Verpachtung
im Jahr 2011 ungefähr?",Bitte geben Sie den Bruttobetrag einschließlich Umlagezahlungen an.,About how high was the total income from renting out or leasing out in year 2011?,"Please state the gross amount including
funds put aside for future use/
maintenance/renovations.",txt,,,,Q30;HVERM1=1,,"Researcher Notes:
Nachfrage bei unplausibler Höhe",,Q31,,,
soep-is,soep-is-2012-aufwuchs,Q31,hverm2,385,Euro im Jahr 2011,,Euros in Year 2011,,int,,,hverm2,,,,,Q31,,,
soep-is,soep-is-2012-aufwuchs,Q32A,,386,"Welche Ausgaben für die vermieteten oder verpachteten Objekte standen dem im Jahr 2011 ungefähr gegenüber?
Geben Sie bitte zunächst die Ausgaben für Betriebs- und Instandhaltungskosten an.",,What costs did you have for the objects you rented out in the year 2011? Please state for maintenance and repair costs first.,,txt,,,,Q30;HVERM1=1,,"Researcher Notes:
Codierung:
**Var1 = HVERM3
**Var2 = HVERM4",,Q32A,,,
soep-is,soep-is-2012-aufwuchs,Q32A,hverm3,386,Betriebs- und Instandhaltungskosten Euro im Jahr 2011,,Maintenance and repair costs in year 2011 (Euros),,int,,,hverm3,,,,,Q32A,,,
soep-is,soep-is-2012-aufwuchs,Q32B,,387,Welche Tilgungszahlungen und Zinsen für Hypotheken oder Bauspardarlehen mussten Sie im Jahr 2011 für die vermieteten oder verpachteten Objekte aufbringen?,,"What loan, mortgage and interest payments did you needed to set aside for the objects you rented out in the year 2010?",,txt,,,,Q30;HVERM1=1,,"Researcher Notes:
Codierung:
**Var1 = HVERM3
**Var2 = HVERM4",,Q32B,,,
soep-is,soep-is-2012-aufwuchs,Q32B,hverm4,387,Tilgung und Zinsen Euro im Jahr 2011,,"Loan, mortgage and interest payments: euros in the year 2010",,int,,,hverm4,,,,,Q32B,,,
soep-is,soep-is-2012-aufwuchs,Q33,,46,"Müssen Sie oder ein anderes Haushaltsmitglied derzeit Rückzahlungen und Zinsen für Kredite leisten, die Sie für Anschaffungen oder sonstige Ausgaben aufgenommen haben?","Nicht gemeint sind hier Tilgung und Zinsen für Hypotheken oder Bauspar-Darlehen, die Sie vorher schon angegeben haben.",Are you or is someone else in your household currently paying back loans and interest for large purchases or other expenditures?,"Please do not include loan, mortgage or interest payments
which you have already stated in previous questions.",cat,1+16,,hkred1,,,,,Q33,,,
soep-is,soep-is-2012-aufwuchs,Q34,,388,"Wie hoch ist der monatliche Betrag, der für die Rückzahlung dieser Kredite einschließlich Zinsen verwendet wird?",Falls nicht genau bekannt: bitte schätzen!,"How high is the monthly rate, including interests that you pay on these loans?","If you don't know the exact amount, please estimate!",txt,,,,Q33;HKRED1=1,,"Researcher Notes:
Nachfrage bei unplausibler Höhe
**Vorfrage zu FM",,Q34,,,
soep-is,soep-is-2012-aufwuchs,Q34,hkred2,388,Kredit-Rückzahlung (einschließlich Zinsen) Euro im Monat,,Loan repayment (include interest payments): Euros per month,,int,,,hkred2,,,,,Q34,,,
soep-is,soep-is-2012-aufwuchs,Q3402,,389,Wie hoch sind alles in allem Ihre derzeitigen Restschulden insgesamt ohne Zinsen?,"Falls nicht genau bekannt, bitte schätzen!",How much are the total current residual debts without interest rates?,"If you don't know the exact amount, please estimate!",txt,,,,Q32B:HVERM4>0 | Q24;HE01=1 | Q33;HKRED1=1,,"Researcher Notes:
nur wenn Finanz=1",,Q3402,,,
soep-is,soep-is-2012-aufwuchs,Q3402,fm01,389,Restschulden ohne Zinsen Euro insgesamt:,,Total residual debts without interest rates  in euros:,,int,,,fm01,,,,,Q3402,,,
soep-is,soep-is-2012-aufwuchs,Q35,,390,Besaßen Sie oder andere Personen im Haushalt im Jahr 2011 eine oder mehrere Wertanlagen?,"Dazu zählen Sparbuch und Spargirokonto, Bausparverträge, Lebensversicherungen, festverzinsliche Wertpapiere wie Sparbriefe, Pfandbriefe und Bundesschatzbriefe, andere Wertpapiere wie Aktien, Fonds, Anleihen und Optionsscheine, aber auch Betriebsvermögen.",Did you or another member of the household own any of the following savings or investment securities in the year 2011?,"Those include savings accounts, savings contracts for building a home, life insurances, fixed interest securities like saving bonds, mortage bonds and federal savings bonds, other securities
like stocks, funds, bonds and equity warrant, but also company assets.",cat,1+16,,hwa,,,"Researcher Notes:
Quelle:
**Core2011
**nur ja/nein abgefragt
",,Q35,,,
soep-is,soep-is-2012-aufwuchs,Q36,,391,"Wie hoch waren, alles in allem, die Einnahmen aus Zinsen, Dividenden und Gewinnen aus allen Ihren Wertanlagen im Jahr 2011?",,"How high was your total income from interest, dividends and profits from all investments in the year 2011?",,txt,,,,Q35;HWA=1,,"Researcher Notes:
Nachfrage bei unplausibler Höhe",,Q36,,,
soep-is,soep-is-2012-aufwuchs,Q36,hzins1,391,Im Jahr 2011: Euro,,In the year 2011: euros,,int,,,hzins1,,,,,Q36,,,
soep-is,soep-is-2012-aufwuchs,Q36,2,391,Kann ich nicht sagen,,I can not tell,,bin,,,hzins1,,,,,Q36,,,
soep-is,soep-is-2012-aufwuchs,Q37,,50,Bitte schätzen Sie den Betrag anhand der folgenden Kategorien.,Liste 37 vorlegen,Please estimate the exact amount according to the following categories,Show list 37,cat,17+16,,hzins2,Q36:HZINS1=2,,,,Q37,,,
soep-is,soep-is-2012-aufwuchs,Q38,,392,Erhalten Sie oder ein anderes Haushaltsmitglied derzeit eine der folgenden staatlichen Leistungen?,,Do you or one of the members of your household currently receive any of the following governmental benefits?,,txt,,,hd x,,,"Researcher Notes:
Codierung:
**Var1 = HDKG1
**Var2 = HDKZ1
**Var3 = HDAG1
**Var4 = HDPG1
**Var5 = HDSH1
**Var6 = HDGS1
**Var7 = HDWG1
",,Q38,,,
soep-is,soep-is-2012-aufwuchs,Q38,hdkg1,392,Kindergeld,,Child benefit (Kindergeld),,cat,129+,,hdkg1,,,,,Q38,,,
soep-is,soep-is-2012-aufwuchs,Q38,hdkz1,392,"Kinderzuschlag, also zusätzlich zum Kindergeld beantragte Leistung für Geringverdiener",,"Supplementary child benefit (""Kinderzuschlag"" which is paid to low-income earners in addition to the child allowance, ""Kindergeld"")",,cat,129+,,hdkz1,,,,,Q38,,,
soep-is,soep-is-2012-aufwuchs,Q38,hdag1,392,Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten,,"Unemployment benefit II including social benefit and costs of housing (""Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten"")",,cat,129+,,hdag1,,,,,Q38,,,
soep-is,soep-is-2012-aufwuchs,Q38,hdpg1,392,Leistungen der Pflegeversicherung,,"Support for care of sick family members (""Leistungen der Pflegeversicherung"")",,cat,129+,,hdpg1,,,,,Q38,,,
soep-is,soep-is-2012-aufwuchs,Q38,hdsh1,392,Laufende Hilfe zum Lebensunterhalt oder Hilfe in besonderen Lebenslagen,,"Regular support for living costs /
Support for special situations (""Laufende Hilfe zum Lebensunterhalt / Hilfe in besonderen Lebenslagen"")",,cat,129+,,hdsh1,,,,,Q38,,,
soep-is,soep-is-2012-aufwuchs,Q38,hdgs1,392,Grundsicherung im Alter und bei Erwerbsminderung,,Basic income support for the elderly / those with reduced earning capacity (Grundsicherung im Alter und bei Erwerbsminderung),,cat,129+,,hdgs1,,,,,Q38,,,
