study,questionnaire,question,item,number,concept,text,instruction,answer_list,scale,filter,goto,label,description,dummy,meta,view_sort_id,view_lft,view_rgt,view_import_note,view_import_concept,view_import_type,view_first_concept,view_calculated_number,view_calculated_item,text_de,instruction_de
soep-is,soep-is-2011,Q143Intro,,0,,,,,txt,,,,,,,480,297,300,,,,,,,,"Bitte drehen Sie den Laptop so, dass die/der Befragte mit auf den nächsten Bildschirm sehen kann. Die/der Befragte soll selbst die antworten auf der nächsten Seite anklicken!"
soep-is,soep-is-2011,Q143,,0,,How would you rate <first name> in comparison to other children of the same age? My child …,,,txt,,,,,,,481,299,302,,,,,,,Wie würden Sie <Vorname> im Vergleich zu Kindern gleichen Alters beurteilen? Mein Kind …,"Je weiter links Sie Ihr Kreuz machen, umso mehr trifft die linke Eigenschaft zu, je weiter rechts Sie Ihr Kreuz machen, umso mehr trifft die rechte Eigenschaft zu!"
soep-is,soep-is-2011,Q143,0,0,,is anxious … is confident,,q143,cat,,,,,,,491,,,,,,,,,ist ängstlich … ist unängstlich,
soep-is,soep-is-2011,Q143Extro,,0,,,,,txt,,,,,,,492,300,303,,,,,,,,"Bitte den Laptop so drehen, dass die/der Befragte nicht mehr auf den Bildschirm sehen kann!Die/der Befragte soll die Möglichkeit haben, die Frage spontan zu beurteilen, ohne durch das Programm beeinflusst zu werden."
soep-is,soep-is-2011,Q144,,0,,"To what extent meet the following qualifications your personal ideal for <first name>'s education? Please answer using a scale from 1 to 7. A value of 1 means the certificate „does not fit at all"", the value 7 means "" it fully fits“ your personal expectations. You can use the values in between 1 and 7 to make your estimate.",,,txt,,,,,,,493,302,305,,,,,,,"Inwieweit entsprechen die folgenden Schulabschlüsse Ihrer persönlichen Idealvorstellung für die schulische Ausbildung von <Vorname>? Antworten Sie bitte anhand einer Skala von 1 bis 7. Der Wert 1 bedeutet, dass der Abschluss „überhaupt nicht“, der Wert 7 „voll und ganz“ Ihren persönlichen Vorstellungen entspricht. Mit den Werten zwischen 1 und 7 können Sie Ihre Meinung abstufen.","Vorgaben bitte vorlesen!
Liste 144 vorlegen!"
soep-is,soep-is-2011,Q144,0,0,,"Grammar Secondary Class, A-level",,q144,cat,,,,,,,496,,,,,,,,,Abitur,
soep-is,soep-is-2011,Q145,,0,,"How likely is it that <first name> will finish school achieving the following qualifications  in your opinion? Please answer using a scale from 1 to 7. In this case the value 1 means „excluded"", the value 7 means ""absolutely sure“. You can use the values in between 1 and 7 to make your estimate.",,,txt,,,,,,,497,303,307,,,,,,,"Und für wie wahrscheinlich halten Sie es, dass <Vorname> die Schule mit einem der folgenden Abschlüsse verlassen wird? Antworten Sie bitte wieder anhand einer Skala von 1 bis 7. Der Wert 1 bedeutet dieses Mal „ausgeschlossen“ und der Wert 7 bedeutet „ganz sicher“. Mit den Werten zwischen 1 und 7 können Sie Ihre Meinung abstufen.","Vorgaben bitte vorlesen!
Liste 145 vorlegen!"
soep-is,soep-is-2011,Q145,0,0,,"Grammar Secondary Class, A-level",,q145,cat,,,,,,,500,,,,,,,,,Abitur,
soep-is,soep-is-2011,Q11111,,0,,"Next is the rapidity task ""IAT"". The instructions for performing occur immediately before the test - These should be read and followed exactly.",,q11111,cat,,,,,,,501,305,308,,,,"",,,"Als nächstes folgt die Schnelligkeitsaufgabe ""IAT""
Die Anweisungen zur Durchführung erfolgen unmittelbar vor dem Test - Diese sollen genau gelesen und beachtet werden.","Sollte der/die Befragte aus gewichtigen Gründen (wie Sehbehinderung, Analphabetismus, körperliche Beeinträchtigung der Hände/Finger etc.) nicht in der Lage sein, den IAT durchzuführen, können Sie den Test unter Angabe von Gründen überspringen.  
In besonderen Ausnahmefällen kann der Test auch zwischendurch mit der ""F12-Taste"" abgebrochen werden. Begründen Sie diese Entscheidung dann bitte im darauffolgenden Erfahrungsbericht. 
Bitte drehen Sie den Bildschirm so, dass der/die Befragte die Fragen selbst und unbeobachtet beantworten kann."
soep-is,soep-is-2011,Q11112,,0,,Thank you very much! Please turn the screen. The interviewer will assume the continuing input!,,,txt,,,,,,,502,307,309,,,,,,,"Vielen Dank!
Bitte drehen Sie den Bildschirm um.
Die weitere Eingabe übernimmt wieder der Interviewer!",
soep-is,soep-is-2011,Q11113,,0,,"""Tell us about the just performed"" ""IAT"",  how comprehensible is the test formulated for the target person and how would you assess the willingness to participate of the target person. Evaluation by school grades!
1 = "" very good ""
2 = "" good ""
3 = "" satisfactory ""
4 = "" sufficient ""
5 = "" poor/  fail ""
6 = ""  very poor/ fail """,,,txt,,,,,,,503,308,311,,,,,,,"Bitte geben Sie uns zu dem eben durchgeführten ""IAT"" an, wie verständlich der Test für die Zielperson formuliert ist und wie Sie die Teilnahmebereitschaft der Zielperson bewerten würden. Bewertung nach Schulnoten!
1 = ""sehr gut""
2 = ""gut""
3 = ""befriedigend""
4 = ""ausreichend""
5 = ""mangehalft""
6 = ""ungenügend""",
soep-is,soep-is-2011,Q11113,0,0,,Willingness to participate,,q11113,cat,,,,,,,505,,,,,,,,,Teilnahmebereitschaft,
soep-is,soep-is-2011,Q11114,,0,,"Was there a disturbance or distraction during the execution of the association tests e.g.: by the doorbell, the phone, sneezing, pets, third persons or other ?",,q11114,cat,,,,,,,506,309,313,,,,"",,,"Kam es während der Durchführung des Zuordnungstests zu einer Störung oder Ablenkung wie z.B. durch die Türklingel, das Telefon, Niesen, Haustiere, dritte Personen oder anderes?",
soep-is,soep-is-2011,Q11114,1,0,,"(yes, in fact)",,,chr,,,,,,,507,,,,,,"",,,"(ja, und zwar)",
soep-is,soep-is-2011,Q11115,,0,,"If necessary, please provide additional explanations on the just completed test.",,q11114,cat,,,,,,,508,311,315,,,,"",,,"Falls erforderlich, geben Sie uns bitte noch zusätzliche Erläuterungen zu dem eben durchgeführten Test.",
soep-is,soep-is-2011,Q11115,0,0,,"(yes, in fact)",,,chr,,,,,,,509,,,,,,,,,"(ja, und zwar)",
soep-is,soep-is-2011,Q145bintro,,0,,"People react very differently in dealing with others. I will read a series of statements in which different situations are described. Please specify how much each statement applies to you. If you have not experienced a situation, please reply the way you would react according to your expectance.",,,txt,,,,,,,510,313,316,,,,,,,"Menschen reagieren im Umgang mit anderen Menschen sehr unterschiedlich. Ich lese Ihnen eine Reihe von Aussagen vor, in denen verschiedene Situationen beschrieben werden. Bitte geben Sie jeweils an, wie sehr die jeweilige Aussage auf Sie zutrifft. Sollten Sie eine Situation noch nicht selbst erlebt haben, antworten Sie bitte so, wie Sie Ihrer Erwartung nach reagieren würden.",
soep-is,soep-is-2011,Q145b,,0,,"For a start it is about situations which result in other's advantage and your disadvantage, because you were penalized, exploited or treated unfair. To what extend do you agree with the following statement? Please answer according to the following scale: A value of 0: Absolutly does not apply. The value of 5 means: Fully applies.You can use the values in between to make your estimate.",,,txt,,,,,,,511,315,318,,,,,,,"Zunächst geht es um Situationen, die zum Vorteil anderer und zu Ihrem Nachteil ausgehen, weil Sie von anderen benachteiligt, ausgenutzt oder unfair behandelt werden. Wie sehr treffen die folgenden Aussagen zu? Antworten Sie bitte anhand der folgenden Skala: Der Wert 0 bedeutet: trifft überhaupt nicht zu. Der Wert 5 bedeutet: trifft voll und ganz zu. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.",Liste 145b vorlegen!
soep-is,soep-is-2011,Q145b,0,0,,It gets to me when I have to drudge for things that fall in other´s lap.,,q14501,cat,,,,,,,513,,,,,,,,,"Es macht mir zu schaffen, wenn ich mich für Dinge abrackern muss, die anderen in den Schoß fallen.",
soep-is,soep-is-2011,Q145c,,0,,"Now it is about situations in which you witness or find out about someone else getting penalized, exploited or treated unfair, without you being involved. Please indicate to what degree you agree with the following statements.  Please answer according to the following scale: A value of 0: Absolutly does not apply. The value of 5 means: Fully applies.You can use the values in between to make your estimate.",,,txt,,,,,,,514,316,320,,,,,,,"Jetzt geht es um Situationen, in denen Sie beobachten oder erfahren, dass jemand anderes benachteiligt, ausgenutzt oder unfair behandelt wird, ohne dass Sie selbst daran beteilgt sind. Bitte geben Sie an, wie sehr die jeweilige Aussage auf Sie zutrifft. Antworten Sie bitte anhand der folgenden Skala: Der Wert 0 bedeutet: trifft überhaupt nicht zu. Der Wert 5 bedeutet: trifft voll und ganz zu. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.",Liste 145b liegt vor!
soep-is,soep-is-2011,Q145c,0,0,,It gets me when someone has to drudge for things that fall in other`s lap.,,q14501,cat,,,,,,,516,,,,,,,,,"Es macht mir zu schaffen, wenn sich jemand für Dinge abrackern muss, die anderen in den Schoß fallen.",
soep-is,soep-is-2011,Q145d,,0,,"And how about situations which result in your advantage and others disadvantage, without you personally penalizing, exploiting or treating someone else unfair? How appropriate are the following statements?   Please answer according to the following scale: A value of 0: Absolutly does not apply. The value of 5 means: Fully applies.You can use the values in between to make your estimate.",,,txt,,,,,,,517,318,322,,,,,,,"Und wie ist das in Situationen, die zu Ihren Gunsten und zum Nachteil anderer ausgehen, ohne dass Sie selbst jemanden benachteiligen, ausnutzen oder unfair behandeln? Wie zutreffend sind diese Aussagen: Antworten Sie bitte anhand der folgenden Skala: Der Wert 0 bedeutet: trifft überhaupt nicht zu. Der Wert 5 bedeutet: trifft voll und ganz zu. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.",Liste 145b liegt vor!
soep-is,soep-is-2011,Q145d,0,0,,It gets me when someone else has to drudge for things that fall in my lap.,,q14501,cat,,,,,,,519,,,,,,,,,"Es macht mir zu schaffen, wenn mir Dinge in den Schoß fallen, für die andere sich abrackern müssen.",
soep-is,soep-is-2011,Q145e,,0,,"Finally it is about situations in which you are penalizing, exploiting or treating someone else unfair. Please indicate to what degree you agree with the following statements. Please answer according to the following scale: A value of 0: Absolutly does not apply. The value of 5 means: Fully applies.You can use the values in between to make your estimate.",,,txt,,,,,,,520,320,324,,,,,,,"Zuletzt geht es um Situationen, in denen Sie selbst jemanden benachteiligen, ausnutzen oder unfair behandeln. Bitte sagen Sie mir, in wieweit folgende Aussagen zutreffen. Antworten Sie bitte anhand der folgenden Skala: Der Wert 0 bedeutet: trifft überhaupt nicht zu. Der Wert 5 bedeutet: trifft voll und ganz zu. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.",Liste 145b liegt vor!
soep-is,soep-is-2011,Q145e,0,0,,"It gets me when I wrangle something for me through trickery, while others have to drudge for it.",,q14501,cat,,,,,,,522,,,,,,,,,"Es macht mir zu schaffen, wenn ich mir durch Tricks Dinge verschaffe, für die sich andere abrackern müssen.",
soep-is,soep-is-2011,Q146,,0,,From which of the following income sources do you personally receive money at this time?,,,txt,,,,,,,523,322,327,,,,,,,Welche der im folgenden Einkünfte beziehen Sie persönlich derzeit?,"Vorgaben bitte vorlesen!
Liste 146 vorlegen!"
soep-is,soep-is-2011,Q146,0,0,,None of these,,,bin,,,,,,,536,,,,,,,,,Nichts davon,
soep-is,soep-is-2011,Q146,14,0,,No answer,,,bin,,,,,,,537,,,,,,,,,Keine Angabe,
soep-is,soep-is-2011,Q147.1,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Own pension. If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK01=1,,,,,,538,324,329,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist: Eigene Rente, Pension. Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls sie mehrere haben, bitte zusammenrechnen!"
soep-is,soep-is-2011,Q147.1,0,0,,Gross amount per month ... euros,,,int,,,,,,,539,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.2,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Widower's pension, orphan's pension. If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK02=1,,,,,,540,327,331,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Witwenrente oder -pension, Waisenrente.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls sie mehrere haben, bitte zusammenrechnen!"
soep-is,soep-is-2011,Q147.2,0,0,,Gross amount per month ... euros,,,int,,,,,,,541,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.3,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Unemployment pay (""Arbeitslosengeld""). If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK03=1,,,,,,542,329,333,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Arbeitslosengeld.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147.3,0,0,,Gross amount per month ... euros,,,int,,,,,,,543,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.4,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Support for further training and education (""Unterhaltsgeld bei Fortbildung"") / Transition pay (""Übergangsgeld""). If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK05=1,,,,,,544,331,335,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Unterhaltsgeld bei Fortbildung/Umschulung, Übergangsgeld.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147.4,0,0,,Gross amount per month ... euros,,,int,,,,,,,545,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.5,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Interim pension of the former employer. If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK06=1,,,,,,546,333,337,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Vorruhestandszahlungen des (ehemaligen) Arbeitgebers.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147.5,0,0,,Gross amount per month ... euros,,,int,,,,,,,547,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.6,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Maternity benefit during maternity leave (""Elterngeld"", ""Erziehungsgeld""). If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK07=1,,,,,,548,335,339,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Mutterschaftsgeld während des Mutterschutzes, Elterngeld, Erziehungsgeld.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147.6,0,0,,Gross amount per month ... euros,,,int,,,,,,,549,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.7,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: BAföG (state support for higher education), grants, vocational training support (""Stipendium, Berufsausbildungsbeihilfe""). If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK08=1,,,,,,550,337,341,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
BAFöG, Stipendium, Berufsausbildungsbeihilfe.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147.7,0,0,,Gross amount per month ... euros,,,int,,,,,,,551,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.8,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Pay for compulsory military service, community service in place of military service (""Wehrsold, Zivildienst""). If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK09=1,,,,,,552,339,343,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Wehrsold oder Zivildienstvergütung.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147.8,0,0,,Gross amount per month ... euros,,,int,,,,,,,553,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.9,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Alimony spousal/ child support. If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK19=1,,,,,,554,341,345,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Gesetzlicher Ehegattenunterhalt, Kindesunterhalt oder Betreuungsunterhalt.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147.9,0,0,,Gross amount per month ... euros,,,int,,,,,,,555,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147.10,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Alimony from maintenance advance fund. If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK18=1,,,,,,556,343,347,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Unterhaltszahlung aus unterhaltsvorschusskassen.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147.10,0,0,,Gross amount per month ... euros,,,int,,,,,,,557,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147,,0,,"For all the applicable sources of income, please indicate how large an amount is each month: Other types of financial assistance from persons who do not live in the household. If you are unable to state the exact amount, please estimate.",,,txt,Q146:PEK11=1,,,,,,558,345,349,,,,,,,"Für alle zutreffenden Einkünfte geben Sie bitte an, wie hoch derzeit der Betrag im Monat ist:
Sonstige Unterstützung von Personen, die nicht im haushalt leben.
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.",
soep-is,soep-is-2011,Q147,0,0,,Gross amount per month ... euros,,,int,,,,,,,559,,,,,,,,,Bruttobetrag pro Monat … Euro,
soep-is,soep-is-2011,Q147b,,0,,"Do you qualify for a pension from the old age pension scheme, so-called entitlements to a pension (Anwartschaften)?",,q147b,cat,,,,,,,560,347,350,,,,"",,,"Haben Sie aus der gesetzlichen Rentenversicherung Ansprüche, sogenannte Anwartschaften? Gemeint sind bislang durch bereits getätigte Beitragszahlungen in die gesetzliche Rentenversicherung erworbene Rentenansprüche. Wenn Sie derartige Rentenansprüche haben, werden Sie darüber durch die Renteninformation jährlich informiert.",
soep-is,soep-is-2011,Q147c,,0,,"What would your monthly entitlement to a pension be worth by now,  ie the value that would be paid in the current situation as a monthly pension? This amount is the second value in the box on the right border of the pension information of the German pension insurance. If you do not know it exactly, please estimate the amount.",,,txt,,,,,,,561,349,352,,,,,,,"Wie hoch sind die bislang erworbenen monatlichen Ansprüche aus der gesetzlichen Rentenversicherung, also der Wert, der nach heutigem Stand als monatliche Rente ausbezahlt werden würde? Dieser Betrag ist der zweite Wert im Kasten am rechten Rand der Renteninformation der Deutschen Rentenversicherung. Falls Sie es nicht genau wissen, schätzen Sie bitte den Betrag.",Liste 147b vorlegen!
soep-is,soep-is-2011,Q147c,0,0,,Euros per month:,,,int,,,,,,,562,,,,,,,,,Euro pro Monat:,
soep-is,soep-is-2011,Q147d,,0,,"What about your accrued occupational pension benefits? Do you belong to an occupational pension scheme? Occupational pension schemes include occupational pension plans, pension funds, relief funds (Unterstützungskassen) and also occupational direct promises (Direktzusagen) and direct insurance (Direktversicherungen).",,q147d,cat,,,,,,,563,350,353,,,,"",,,"Und wie ist das mit Ihren Ansprüchen auf eine betriebliche Altersvorsorge. Haben Sie Anspruch auf eine betriebliche Altersvorsorge? Zu betrieblichen Altersvorsorgemaßnahmen zählen zum Beispiel betriebliche Pensionskassen, Pensionsfonds, Unterstützungskassen und auch die sogenannten betrieblichen Direktzusagen und Direktversicherungen.",
soep-is,soep-is-2011,Q147e,,0,,"How much have you accrued in occupational pension benefits? Please state your monthly pension benefit as listed in your last insurance statement.  If you do not know it exactly, please estimate.",,,txt,,,,,,,564,352,355,,,,,,,"Wie hoch sind die bislang erworbenen Ansprüche auf die betriebliche Altersvorsorge? Bitte geben Sie den bei Ihrem letzten Versicherungsnachweis aufgeführten monatlichen Rentenzahlbetrag an. Falls Sie es nicht genau wissen, schätzen Sie bitte.",
soep-is,soep-is-2011,Q147e,0,0,,So far gained entitlements currently amount to a monthly pension of ... euros.,,,int,,,,,,,565,,,,,,,,,Die bislang erworbenen Ansprüche belaufen sich derzeit auf einen monatlichen Rentenbetrag von … Euro.,
soep-is,soep-is-2011,Q148,,0,,"Have you been engaged in paid work during the last 7 days, even if this work was only for an hour or just a few hours? Please answer yes also if you normally would have worked in the last seven days, but because of holidays, sickness, bad weather, or other reasons did not do so.",,q148,cat,,,,,,,566,353,356,,,,"",,,"Haben Sie während der letzten 7 Tage irgendeine bezahlte Arbeit ausgeübt, auch wenn dies nur für eine Stunde oder für wenige Stunden war? Bitte antworten Sie auch mit ""Ja"", wenn Sie in den letzten sieben Tagen normalerweise gearbeitet hätten, aber wegen Urlaub, Krankheit, schlechtem Wetter oder anderen Gründen zeitweise abwesend waren.",
soep-is,soep-is-2011,Q149,,0,,"Are you currently under maternity protection or in the legally regulated ""Elternzeit""",,q149,cat,,,,,,,567,355,357,,,,"",,,"Sind Sie zur Zeit im Mutterschutz oder in der gesetzlich geregelten ""Elternzeit""?",
soep-is,soep-is-2011,Q150,,0,,Do you hold a school leaving certificate?,,q150,cat,,,,,,,568,356,358,,,,"",,,Besitzen Sie einen Schulabschluss?,
soep-is,soep-is-2011,Q151,,0,,In which country did you receive your school leaving certificate?,,q151,cat,Q150;LSAB X=1,,,,,,569,357,359,,,,"",,,In welchem Land haben Sie Ihren Schulabschluss erworben? War das …,
soep-is,soep-is-2011,Q152,,0,,What kind of school leaving certificate did you receive?,,q152,cat,Q151;LSAB3=1 ,,,,,,570,358,360,,,,"",,,Welchen Schulabschluss haben Sie?,
soep-is,soep-is-2011,Q153,,0,,What kind of school leaving certificate did you receive?,,q153,cat,Q151;LSAB3=2,,,,,,571,359,361,,,,,,,Welchen Schulabschluss haben Sie?,
soep-is,soep-is-2011,Q154,,0,,Please state the other school-leaving certificate.,,,chr,Q151:LSAB3=3 & (Q152:LSAB7X=5 | Q153:LSAB7Y=4),,,,,,572,360,362,,,,"",,,Bitte nennen Sie mir den anderen Schulabschluss.,
soep-is,soep-is-2011,Q155,,0,,What type of school-leaving certificate did you attain?,,q155,cat,Q151;LSAB3=3,,,,,,573,361,363,,,,"",,,Welchen Schulabschluss haben Sie?,
soep-is,soep-is-2011,Q155b,,0,,What year did you last attend school?,,,txt,,,,,,,574,362,365,,,,,,,In welchem Jahr haben Sie zuletzt die Schule besucht?,
soep-is,soep-is-2011,Q155b,0,0,,Year,,,int,,,,,,,575,,,,,,,,,Jahr,
soep-is,soep-is-2011,Q156,,0,,Did you complete vocational training or a university degree?,,q156,cat,"Q150;LSABX=1,3,9",,,,,,576,363,366,,,,"",,,Haben Sie eine Berufsausbildung oder ein Studium abgeschlossen?,
soep-is,soep-is-2011,Q157,,0,,What type of vocational training or university degree was it?,,,txt,,,,,,,577,365,369,,,,,,,Was für ein Ausbildungs- oder Studiumsabschluss ist das?,"Mehrfachnennungen möglich!
Liste 157 vorlegen!"
soep-is,soep-is-2011,Q157,0,0,,Other vocational training or university degree,,,bin,,,,,,,587,,,,,,,,,Sonstiger Ausbildungsabschluss,
soep-is,soep-is-2011,Q157,11,0,,No answer,,,bin,,,,,,,588,,,,,,,,,Keine Angabe,
soep-is,soep-is-2011,Q158,,0,,Please name your other vocational training or university degree.,,,chr,Q157:LAB08=1,,,,,,589,366,370,,,,"",,,Bitte nennen Sie Ihren sonstigen Ausbildungsabschluss.,
soep-is,soep-is-2011,Q159,,0,,"Are you currently enrolled in an educational or training program? In other words: are you in school or higher education, working on a doctors degree, completing vocational training, or taking part in further training?",,q159,cat,,,,Qlib:Q15901,,,590,369,371,,,,"",,,"Sind Sie derzeit in Ausbildung? Das heißt: Besuchen Sie eine Schule oder Hochschule, einschließlich Promotion, machen Sie eine Berufsausbildung oder nehmen Sie an einem Weiterbildungslehrgang teil?",
soep-is,soep-is-2011,Q160,,0,,What kind of training or further training is it?,,q160,cat,,,,Qlib:Q15902,,,591,370,372,,,,"",,,Was für eine Ausbildung oder Weiterbildung ist das?,
soep-is,soep-is-2011,Q160a,,0,,What kind of general education / secondary school is it?,,q15903,cat,Q159:PAUS=1 ,,,Qlib:Q15903,,,592,371,373,,,,"",,,Um welche Art allgemeinbildende Schule handelt es sich?,Liste 8 liegt vor!
soep-is,soep-is-2011,Q160c.1,,0,,"Were you registered unemployed at the unemployment office (Arbeitsamt) any time in the last 10 years, that is, from the beginning of 2001 to today?",,q160c,cat,Q1;Lela=1,,,Qlib:Q16001,,,593,372,374,,,,"",,,"Waren Sie in den letzten 10 Jahren, also von Anfang 2001 bis heute, irgendwann einmal beim Arbeitsamt arbeitslos gemeldet?",
soep-is,soep-is-2011,Q160d,,0,,How often have you been unemployed since 2001?,,,txt,Q160c.1;al10a=1 ,,,Qlib:Q16002,,,594,373,376,,,,,,,Wie häufig sind Sie von 2001 bis heute arbeitslos gewesen?,
soep-is,soep-is-2011,Q160d,0,0,,times,,,int,,,,,,,595,,,,,,,,,mal,
soep-is,soep-is-2011,Q160c.2,,0,,"Are you registered as unemployed at the Employment Office (""Arbeitsamt"")?",,q160c,cat,Q160c.1;al10a=1 ,,,Qlib:Q16003,,,596,374,377,,,,,,,Sind Sie zur Zeit beim Arbeitsamt arbeitslos gemeldet?,
soep-is,soep-is-2011,Q160e,,0,,"If you added up all your phases of unemployment up to the present day, how many months in total were you unemployed between 2001 and today?",,,txt,Q160c.1;al10a=1 ,,,Qlib:Q16004,,,597,376,379,,,,,,,Wenn Sie einmal alle diese Zeiten der Arbeitslosigkeit bis heute zusammenzählen: Wie viele Monate waren Sie seit 2001 alles in allem arbeitslos?,
soep-is,soep-is-2011,Q160e,0,0,,months,,,int,,,,,,,598,,,,,,,,,Monate,
soep-is,soep-is-2011,Q160f,,0,,"How many jobs or employers have you had in the last 10 years, in other words, since the beginning of 2001?",,,txt,,,,Qlib:Q16005,,,599,377,381,,,,,,,"Bei wie vielen Stellen beziehungsweise bei wie vielen Arbeitgebern waren Sie in den letzten 10 Jahren, also seit Anfang 2001, beschäftigt? Wenn Sie heute berufstätig sind, zählen Sie Ihre heutige Stelle bitte mit.",
soep-is,soep-is-2011,Q160f,0,0,,,,q160f_1,cat,,,,,,,601,,,,,,,,,Anzahl Arbeitgeber/Stellen und zwar:,
soep-is,soep-is-2011,Q16006,,0,,Are you currently registered unemployed with the unemployment office (Arbeitsamt)?,,q160c,cat,Q1;Lela=2 ,,,,,,602,379,382,,,,"",,,Sind Sie zur Zeit beim Arbeitsamt arbeitslos gemeldet?,
soep-is,soep-is-2011,Q161,,0,,Are you currently engaged in paid employment? Which of the following applies best to your status? Pensioners with a job contract are considered employed.,,q161,cat,,,,,,,603,381,383,,,,"",,,Üben Sie derzeit eine Erwerbstätigkeit aus? Was trifft für Sie zu? Rentner mit Arbeitsvertrag gelten hier als erwerbstätig.,Liste 161 vorlegen!
soep-is,soep-is-2011,Q162,,0,,Is this part-time employment provided for under the Federal Child-Raising Allowance Act (Bundeserziehungsgeldgesetz)?,,q162,cat,Q161;PERW=2,,,,,,604,382,384,,,,"",,,Ist das eine Teilzeitbeschäftigung nach dem Gesetz zur Elternteilzeit?,
