study,questionnaire,concept,question,item,number,text_de,text,instruction_de,instruction,answer_list,scale,filter,goto,label,description,dummy,meta,view_sort_id,view_lft,view_rgt,view_import_note,view_import_concept,view_import_type,view_first_concept,view_calculated_number,,,label_de,,,,,
soep-is,soep-is-2011,pfs141,Q242,pfs141,Q242,Habe neuen Partner / Partnerin kennengelernt,Started a new relationship,,,,bin,,,,,,,786,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs011,Q242,pfs011,Q242,Habe geheiratet,Married,,,,bin,,,,,,,787,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs021,Q242,pfs021,Q242,Bin mit Partner / Partnerin zusammengezogen,Partner and I moved in together,,,,bin,,,,,,,788,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs031,Q242,pfs031,Q242,Kind wurde geboren,A child was born,,,,bin,,,,,,,789,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs111,Q242,pfs111,Q242,Kind kam in den Haushalt,A child entered the household,,,,bin,,,,,,,790,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs041,Q242,pfs041,Q242,Sohn / Tochter hat den Haushalt verlassen,My son / daughter moved out,,,,bin,,,,,,,791,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs051,Q242,pfs051,Q242,Habe mich von Ehepartner / Lebenspartner getrennt,Separated from my spouse / partner,,,,bin,,,,,,,792,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs061,Q242,pfs061,Q242,Wurde geschieden,Divorced,,,,bin,,,,,,,793,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs071,Q242,pfs071,Q242,Ehepartner / Lebenspartner ist verstorben,My spouse / partner died,,,,bin,,,,,,,794,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs081,Q242,pfs081,Q242,Vater ist verstorben,Father died,,,,bin,,,,,,,795,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs091,Q242,pfs091,Q242,Mutter ist verstorben,Mother died,,,,bin,,,,,,,796,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs121,Q242,pfs121,Q242,Kind ist verstorben,Child died,,,,bin,,,,,,,797,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs131,Q242,pfs131,Q242,"Andere Person, die hier im Haushalt lebte, ist verstorben",Another person who lives in the household died,,,,bin,,,,,,,798,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs101,Q242,pfs101,Q242,Sonstige familiäre Veränderung,Other family changes,,,,,,,,,,,799,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfsno,Q242,pfsno,Q242,"Nein, nichts davon",None of the above,,,,bin,,,,,,,800,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q242,17,Q242,Keine Angabe,No answer,,,,bin,,,,,,,801,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfsso,Q242,pfsso,Q242,(Sonstige familiäre Veränderung) und zwar,(Other family changes) Namely,,,,chr,,,,,,,802,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.01,,Q243,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Habe neuen Partner/Partnerin kennengelernt,What year and month did this change in your family situation take place? I have met a new partner,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,803,9417,9437,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs143,Q243.01,pfs143,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,804,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs142,Q243.01,pfs142,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,805,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.02,,Q243,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Habe geheiratet,What year and month did this change in your family situation take place? Have been married,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,806,9434,9440,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs013,Q243.02,pfs013,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,807,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs012,Q243.02,pfs012,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,808,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.03,,Q243,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Bin mit Partner/Partnerin zusammengezogen,What year and month did this change in your family situation take place? Partner and I moved in together,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,809,9437,9443,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs023,Q243.03,pfs023,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,810,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs022,Q243.03,pfs022,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,811,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.04,,Q243,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Kind wurde geboren,What year and month did this change in your family situation take place? A child was born,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,812,9440,9446,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs033,Q243.04,pfs033,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,813,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs032,Q243.04,pfs032,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,814,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.05,,Q243,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Kind kam in den Haushalt,What year and month did this change in your family situation take place? A child entered the household,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,815,9443,9449,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs113,Q243.05,pfs113,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,816,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs112,Q243.05,pfs112,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,817,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.06,,Q243,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Sohn/Tochter hat den Haushalt verlassen,What year and month did this change in your family situation take place? My son / daughter moved out,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,818,9446,9452,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs043,Q243.06,pfs043,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,819,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs042,Q243.06,pfs042,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,820,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.07,,Q243,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Habe mich von Ehepartner/Lebenspartner getrennt,What year and month did this change in your family situation take place? Separated from my spouse / partner,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,821,9449,9455,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs053,Q243.07,pfs053,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,822,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs052,Q243.07,pfs052,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,823,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.08,,Q243,In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt? Wurde geschieden,What year and month did this change in your family situation take place? Divorced,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,824,9452,9458,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs063,Q243.08,pfs063,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,825,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs062,Q243.08,pfs062,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,826,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.09,,Q243,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Ehepartner/Lebenspartner ist verstorben",What year and month did this change in your family situation take place? My spouse / partner died,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,827,9455,9461,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs073,Q243.09,pfs073,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,828,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs072,Q243.09,pfs072,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,829,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.10,,Q243,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Vater ist verstorben",What year and month did this change in your family situation take place? Father died,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,830,9458,9464,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs083,Q243.10,pfs083,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,831,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs082,Q243.10,pfs082,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,832,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.11,,Q243,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Mutter ist verstorben",What year and month did this change in your family situation take place? Mother died,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,833,9461,9467,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs093,Q243.11,pfs093,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,834,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs092,Q243.11,pfs092,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,835,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.12,,Q243,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Kind ist verstorben",What year and month did this change in your family situation take place? Child died,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,836,9464,9470,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs123,Q243.12,pfs123,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,837,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs122,Q243.12,pfs122,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,838,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.13,,Q243,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Andere Person, die im Haushalt lebte, ist verstorben",What year and month did this change in your family situation take place? Another person who lives in the household died,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,839,9467,9473,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs133,Q243.13,pfs133,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,840,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs132,Q243.13,pfs132,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,841,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q243.14,,Q243,"In welchem Jahr und in welchem Monat fand diese Änderung Ihrer familiären Situation statt?
Sonstige",What year and month did this change in your family situation take place? Other,Eingabe nicht später als Befragungsdatum! (aktuellen Monat einblenden/2011),,,txt,,,,,,,842,9470,9476,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs103,Q243.14,pfs103,Q243,2011 im Monat,2011 a month,,,,int,,,,,,,843,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pfs102,Q243.14,pfs102,Q243,2010 im Monat,2010 a month,,,,int,,,,,,,844,,,,,,,,,,,,,,,
soep-is,soep-is-2011,pzule1,Q244,,Q244,"Zum Schluss möchten wir Sie noch nach Ihrer Zufriedenheit mit Ihrem Leben insgesamt fragen. Antworten Sie bitte anhand der folgenden Skala, bei der ""0"" ganz und gar unzufrieden, ""10"" ganz und gar zufrieden bedeutet. Mit den Werten zwischen ""0"" und ""10"" können Sie Ihre Meinung abstufen. Wie zufrieden sind Sie gegenwärtig, alles in allem, mit Ihrem Leben?","In conclusion we would like to ask you about your satisfaction with your life in general.  Please answer on a scale from 0 (completely dissatisfied) to 10 (completely satisfied). How satisfied are you with your life, all things considered?",Liste 244 vorlegen!,,q244,cat,,,,,,,845,9473,9477,,,,,,,,,,,,,
soep-is,soep-is-2011,pzule2,Q245,,Q245,"Und was glauben Sie, wie zufrieden werden Sie wohl in fünf Jahren sein? Antworten Sie bitte wieder anhand der folgenden Skala, bei der ""0"" ganz und gar unzufrieden, ""10"" ganz und gar zufrieden bedeutet. Mit den Werten zwischen ""0"" und ""10"" können Sie Ihre Meinung abstufen.",What do you think how satisfied will you be in five years? Please answer on a scale from 0 (completely dissatisfied) to 10 (completely satisfied). With the values in between you can make your estimate.,Liste 244 vorlegen!,,q245,cat,,,,,,,846,9476,9478,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q246,,246,MITTEILUNG Gibt es noch sonstige Hinweise zum Interview?,NOTICE Are there other information about the interview?,Bitte in Stichworten!,,,chr,,,,,,,847,9477,9479,,,,,2,,,,,,,,
soep-is,soep-is-2011,,END,,END,Der Innovationsfragebogen ist zu Ende. Vielen Dank für ihre Mitarbeit!,The innovation questionnaire is finished. Thank you for your cooperation!,,,,txt,,,,,,,848,9478,,,,,,,,,,,,,,
soep-is,soep-is-2011,,END,1,END,Interviewdauer: Das Interview für diesen Fragebogen dauerte … Minuten,Interview duration: The interview for this questionnaire took … minutes,,,,int,,,,,,,849,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,lela,Q1,,1,Neu zu befragende Person,,Wird anhand der Infos aus der Paneldatei (bei erstmals zu befragenden Jugendlichen) bzw. beim Anlegen einer neuen Person automatisch generiert.,,lela,cat,,,,,,,,,,,,,,,,,Neu zu befragende Person (Vorfilter zur Steuerung der Lebenslauffragen),,,,,
soep-is,soep-is-2012-haupt,,A000C,,A000C,Bitte machen Sie folgende Angaben zur Zielperson:,Please give the following informations on the target person,"Bitte vergessen Sie nicht, diese Angaben auch ins Adressenprotokoll zu übertragen!",,,txt,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,name,A000C,name,A000C,Vorname der Befragungsperson,First name,,,,chr,,,,,,,,,,,,,,,,,Vorname der Befragungsperson,,,,,
soep-is,soep-is-2012-haupt,lsex,A000C,lsex,A000C,Geschlecht,Sex,,,lsex,cat,,,,,,,,,,,,,,,,,Geschlecht,lsex,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lgeb,A000C,lgeb,A000C,Jahr,,,,,int,,,,,,,,,,,,,,,,,Geburtsjahr,lgeb,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lgebmo,A000C,lgebmo,A000C,Monat,,,,,int,,,,,,,,,,,,,,,,,Geburtsmonat,lgebmo,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hh,Q5,,5,"Ist die Befragungsperson der Haushaltsvorstand beziehungsweise die Person, die die Fragen zum Haushalt beantwortet?","Is the respondent the head of household, the person who answers the questions about the household?","Die Fragen zum Haushalt soll diejenige Person beantworten, die am besten über die Belange des Gesamthaushalts und der anderen Haushaltsmitglieder Auskunft geben kann. Sofern bekannt, ist diese Person im Adressprotokoll mit * gekennzeichnet.

Wichtiger Hinweis: Die Fragen zum Haushalt müssen grundsätzlich für jeden Haushalt einmal ausgefüllt werden. Ohne diesen Fragenteil sind alle anderen Fragen für die Datenauswertung unbrauchbar!","The questions on the household should be answered by the person who knows most about the concerns of the total household and the other household members. If known, that person is identified  with  * in the address protocol. 

Important Note: The questions on the household have to be filled out once for each household. Without this question part all other questions would be useless for data analysis!",hh,cat,,,Screen head of household,,,,5,785,787,Q5 | HH | Screener Haushaltsvorstand,hh,Single coded,,,,,Haushaltsvorstand ja/nein,,,,,
soep-is,soep-is-2012-haupt,film01,Q5_1,,501,"Bevor wir mit der eigentlichen Befragung beginnen, möchten wir gerne wissen, ob Sie oder eine andere Person in Ihrem Haushalt bereits den neuen Kurzfilm zur Studie LEBEN IN DEUTSCHLAND gesehen haben.","Before we begin with the actual survey, we would like to know whether you or someone else in your household have already seen the new short film about the study LIVING IN GERMANY.",,,film01,cat,,,Already Seen Short Film LIVING IN GERMANY Yes/ No,,,,6,786,788,Q501 | Film01 | Film,film01,Single coded,,5,,,Kurzfilm LEBEN IN DEUTSCHLAND bereits gesehen ja/nein,Film01,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,film02,Q5_2,,502,Dann möchte ich Ihnen den Film jetzt kurz zeigen.,Then I want to show you the short film now.,,,film02,cat,Q5_1;film01>1,,Show Short Film  LIVING IN GERMANY Yes /No,,,,7,787,789,Q502 | Film02 | Film zeigen,film02,Single coded,,5,,,Kurzfilm zeigen ja /nein,Film02,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,film02o,Q5_2.1,,503,"Bitte geben Sie kurz an, warum Sie den Film nicht gezeigt haben. ","Please state, why you did not show the movie.",,,,chr,Q5_2;film02=2,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,film03,Q5_3,,503,Wie hat Ihnen der Film alles in allem gefallen?,How did you like the movie all in all? ,"Bitte antworten Sie anhand folgender Skala von 1 bis 7:
1 bedeutet, der Film hat Ihnen überhaupt nicht gefallen,
7 bedeutet, der Film hat Ihnen sehr gut gefallen.
Mit den Werten dazwischen können Sie Ihre Meinung abstufen.

Bitte Liste 5 vorlegen!","Please answer using the following scale from 1 to 7: 1 means you did not enjoy the film at all, 7 means you enjoyed the film very much. You can use the values in between to make your estimate.",film03,cat,Q5_1;film01=1 | Q5_2;film02=1,,Opinion on Short Film  LIVING IN GERMANY,,,,8,788,790,Q503 | Film03 | Meinung zum Film,film03,Matrix,,5,,,Meinung zum Film,Film03,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q5_4,,504,Und wie hat Ihnen der Film hinsichtlich der folgenden Aspekte gefallen?,And how did you like the short film with regard on the following aspects? ,"Bitte bewerten Sie die folgenden Gegensatzpaare von 1 bis 7:
1 bedeutet, Sie neigen voll und ganz der ersten Eigenschaft zu.
7 bedeutet, Sie neigen voll und ganz der zweiten Eigenschaft zu.
Mit den Werten dazwischen können Sie Ihre Meinung abstufen.",Please rate the following pairs of opposites from 1 to 7: 1 means you fully tend  to the first characteristic . 7 means you fully tend to the second characteristic.,,txt,Q5_1;film01=1 | Q5_2;film02=1,,Differentiated Opinions on Short Film LIVING IN GERMANY,,,,9,789,795,Q504 | Film04 X | Differenzierte Meinungen zum Film,film04 x,Left Right Matrix,,5,,,,,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,film0401,Q5_4,film0401,504,,,,,film0401,cat,,,"Differentiated Opinions on Short Film LIVING IN GERMANY, Informative",,,,10,,,,,,,5,,,Differenzierte Meinungen zum Film - informativ,Film0401,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,film0402,Q5_4,film0402,504,,,,,film0402,cat,,,"Differentiated Opinions on Short Film LIVING IN GERMANY, Entertaining",,,,11,,,,,,,5,,,Differenzierte Meinungen zum Film - unterhaltsam,Film0402,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,film0403,Q5_4,film0403,504,,,,,film0403,cat,,,"Differentiated Opinions on Short Film LIVING IN GERMANY, Authentic",,,,12,,,,,,,5,,,Differenzierte Meinungen zum Film - glaubwürdig,Film0403,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,film0404,Q5_4,film0404,504,,,,,film0404,cat,,,Differentiated Opinions on Short Film LIVING IN GERMANY. Too short,,,,13,,,,,,,5,,,Differenzierte Meinungen zum Film - zu kurz,Film0404,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,film05,Q5_5,,505,"Haben Sie vor, den Film Freunden oder Bekannten zu zeigen oder zu empfehlen (bzw. haben Sie das bereits getan)? Welche der folgenden Aussagen trifft zu?",Do you intend to show or recommend the film to friends or acquaintances (or have you already done that?) Which of the following statements applies?,,,film05,cat,Q5_1;film01=1 | Q5_2;film02=1,,Recommendation of Short Film LIVING IN GERMANY Yes/No,,,,14,790,796,Q505 | Film05 | Weiterempfehlung,film05,Single coded,,5,,,Weiterempfehlung des Films ja /nein,Film05,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q6,,6,Kommen wir nun zur eigentlichen Befragung. Zunächst geht es um Fragen zu Ihrem Haushalt als Ganzen.,"Now we come to the actual survey. First, there are questions about your household as a whole.",,,,txt,,,Intro Houshold ,,,,15,795,797,Q6 | Q006 | Intro Haushalt,q006,Numeric,,,,,,,,,,
soep-is,soep-is-2012-haupt,hvj,Q7,,7,"Haben Sie bei unserer letzten Befragung, also vor ungefähr einem Jahr,
schon in dieser Wohnung gelebt?",Did you live in this flat the last time we interviewed you about a year ago?,"Achtung:
Wenn der Haushalt das erste Mal an dieser Adresse befragt wird,
oder wenn sich der Hinweis ""Neue Adresse von ...""
über der Anschrift im Adressenprotokoll befindet,
müssen Sie diese Frage mit ""Nein"" beantworten!","Warning:
If the household is interviewed for the first time at this address, or if the note „new address of ...“ is located above the address in the address protocol
you must answer this question with „No“!",hvj,cat,,1 @ Q14:hm01,In This Domicile 1 Year Ago,,,,16,796,798,Q7 | HVJ | In der Wohnung letztes Jahr,hvj,Single coded,,,,,In der Wohnung letztes Jahr - ja/nein,hvj,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q8,,8,Seit wann leben Sie in dieser Wohnung?,When did you move into this dwelling?,,,,txt,Q7;hvj=2,,Since when in dwelling,,,,17,797,799,Q8 | HWM HWJ | Seit wann,hwm hwj,Single coded,,,,,,,,,,
soep-is,soep-is-2012-haupt,hwj,Q8,hwj,8,Jahr,Year,,,,chr,,,Since when in dwelling – Month,,,,,,,,,,,,,,Seit wann in der Wohnung - Jahr,hwj,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hwm,Q8,hwm,8,Monat,Month,,,,chr,,,Since when in dwelling – Year,,,,,,,,,,,,,,Seit wann in der Wohnung -Monat,hwm,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hhtyp,Q9,,9,"Was ist das für ein Haustyp, in dem Sie hier wohnen?",What kind of a house is it in which you live?,Bitte Liste 9 vorlegen!,Please show list 9!,hhtyp,cat,Q7;hvj=2,,Type of house,,,,18,798,800,Q9 | HHTYP | Haustyp,hhtyp,Single coded,,,,,Haustyp,hhtyp,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hheim,Q10,,10,"Handelt es sich um ein Wohnheim, eine Pension oder eine ähnliche Unterkunft?","Is it a rooming house, guesthouse, or a similar accommodation?",,,hheim,cat,Q7;hvj=2,,Living Residence,,,,19,799,801,Q10 | HHEIM | Wohnungsart,hheim,Single coded,,,,,Wohnungsart,hheim,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hwohn09,Q11,,11,"Wann wurde das Haus, in dem Ihre Wohnung liegt, etwa erbaut?","When, approximately, was the house built in which your flat is located?",Bitte Liste 11 vorlegen!,Please show list 11!,hwohn09,cat,Q7;hvj=2,,Year of construction,,,,20,800,802,Q11 | HWOHN09 | Baujahr,hwohn09,Single coded,,,,,Baujahr,hwohn09,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hwohn09a,Q12.1,,12,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?","Can you also provide the exact year
in which the house was built?",,,hwohn09a,cat,Q11;hwohn09=4,,Exact Year House Was Built (since 1972),,,,21,801,803,Q12 | HWOHN09A | Baujahr genau,hwohn09a,Single coded,,,,,Baujahr genau,hwohn09a,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hwohn09a,Q12.2,,12,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?","Can you also provide the exact year
in which the house was built?",,,hwohn09a.2,cat,Q11;hwohn09=5,,Exact Year House Was Built (since 1972),,,,21,801,803,Q12 | HWOHN09A | Baujahr genau,hwohn09a,Single coded,,,,,Baujahr genau,hwohn09a,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hwohn09a,Q12.3,,12,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?","Can you also provide the exact year
in which the house was built?",,,hwohn09a.3,cat,Q11;hwohn09=6,,Exact Year House Was Built (since 1972),,,,21,801,803,Q12 | HWOHN09A | Baujahr genau,hwohn09a,Single coded,,,,,Baujahr genau,hwohn09a,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hwohn09a,Q12.4,,12,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?","Can you also provide the exact year
in which the house was built?",,,hwohn09a.4,cat,Q11;hwohn09=7,,Exact Year House Was Built (since 1972),,,,21,801,803,Q12 | HWOHN09A | Baujahr genau,hwohn09a,Single coded,,,,,Baujahr genau,hwohn09a,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hwohn09a,Q12.5,,12,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?","Can you also provide the exact year
in which the house was built?",,,hwohn09a.5,cat,Q11;hwohn09=8,,Exact Year House Was Built (since 1972),,,,21,801,803,Q12 | HWOHN09A | Baujahr genau,hwohn09a,Single coded,,,,,Baujahr genau,hwohn09a,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hqm,Q13,,13,Wie groß ist die Wohnfläche dieser Wohnung insgesamt?,How large is the total living space in this flat?,,,,int,Q7;hvj=2,,Total Living Area in m2 (1 m2=10 sq. Feet),,,,22,802,804,Q13 | HQM | Wohnungsgröße,hqm,Numeric,,,,,Wohnungsgröße,hqm,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hm01,Q14,,14,Bewohnen Sie diese Wohnung als …,Do you live in the flat as …,,,hm01,cat,,,Apartment Owner or Renter,,,,23,803,805,"Q14 | HM01 | Haupt-, Untermieter, Eigentümer",hm01,Single coded,,,,,"Haupt-, Untermieter, Eigentümer",hm01,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q15,,15,Wie hoch ist derzeit die monatliche Miete?,How much is the monthly rent?,,,,txt,"Q14;hm01=1,2",,Amount Monthly Rent,,,,24,804,806,Q15 | HM04 | Miete/Monat,hm04,Single coded,,,,,Miete/Monat,,,,,
soep-is,soep-is-2012-haupt,hm04,Q15,hm04,15,Euro,euro,,,,int,,,Amount Monthly Rent – Euro,,,,,,,,,,,,,,Miete/Monat - Euro,hm04,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hm05,Q15,hm05,15,Zahle keine keine Miete,"
I don't pay rent",,,,bin,,,Paid No Rent,,,,,,,,,,,,,,Miete/Monat - keine,hm05,H12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,hm06,Q16,,16,Sind die Heizkosten im Mietpreis enthalten?,Are the costs for heating included in the rent?,In der Regel ist in den Heizkosten das Warmwasser enthalten,Usually warm water is included in heating costs also.,hm06,cat,Q15:HM04=1,,Heating and Warm Water Costs in Rent,,,,25,805,807,Q16 | HM06 | Heizkosten im Mietpreis,hm06,Single coded,,,,,Heizkosten im Mietpreis,hm06,H12_IS_W4.sav,,,
