output_study,output_dataset,output_version,output_variable,input_study,input_dataset,input_version,input_variable,,,
soep-is,is_pl,v1,PLB0156,soep-core,zp,v29,zp51,,,
soep-is,is_pl,v1,PLB0156,soep-core,bap,v29,bap42,,,
soep-is,is_pl,v1,PLB0156,soep-is,p_11,v1,ispwohn1,,,
soep-is,is_pl,v1,PLB0157,soep-core,zp,v29,zp52,,,
soep-is,is_pl,v1,PLB0157,soep-core,bap,v29,bap43,,,
soep-is,is_pl,v1,PLB0157,soep-is,p_11,v1,ispwohn3,,,
soep-is,is_pl,v1,PLB0158,soep-core,zp,v29,zp5301,,,
soep-is,is_pl,v1,PLB0158,soep-core,bap,v29,bap4401,,,
soep-is,is_pl,v1,PLB0158,soep-is,p_11,v1,ispwohn4,,,
soep-is,is_pl,v1,PLB0159,soep-core,zp,v29,zp5302,,,
soep-is,is_pl,v1,PLB0159,soep-core,bap,v29,bap4402,,,
soep-is,is_pl,v1,PLB0159,soep-is,p_11,v1,ispwohn5,,,
soep-is,is_pl,v1,PLJ0116,soep-core,zp,v29,zp50,,,
soep-is,is_pl,v1,PLJ0116,soep-core,bap,v29,bap41,,,
soep-is,is_pl,v1,PLB0095,soep-core,zp,v29,zp5701,,,
soep-is,is_pl,v1,PLB0096,soep-core,zp,v29,zp5702,,,
soep-is,is_pl,v1,PLB0097,soep-core,zp,v29,zp58,,,
soep-is,is_pl,v1,PLB0176,soep-core,zp,v29,zp6101,,,
soep-is,is_pl,v1,PLB0176,soep-core,bap,v29,bap5001,,,
soep-is,is_pl,v1,PLB0176,soep-is,p_11,v1,ispaz08,,,
soep-is,is_pl,v1,PLB0185,soep-core,zp,v29,zp6102,,,
soep-is,is_pl,v1,PLB0185,soep-core,bap,v29,bap5002,,,
soep-is,is_pl,v1,PLB0186,soep-core,zp,v29,zp62,,,
soep-is,is_pl,v1,PLB0186,soep-core,bap,v29,bap51,,,
soep-is,is_pl,v1,PLB0186,soep-is,p_11,v1,ispaz10,,,
soep-is,is_pl,v1,PLB0241,soep-core,zp,v29,zp67,,,
soep-is,is_pl,v1,PLB0241,soep-core,bap,v29,bap56,,,
soep-is,is_pl,v1,PLB0209,soep-core,zp,v29,zp5401,,,
soep-is,is_pl,v1,PLB0210,soep-core,zp,v29,zp5402,,,
soep-is,is_pl,v1,PLB0183,soep-core,zp,v29,zp5501,,,
soep-is,is_pl,v1,PLB0184,soep-core,zp,v29,zp5502,,,
soep-is,is_pl,v1,PLB0193,soep-core,zp,v29,zp68,,,
soep-is,is_pl,v1,PLB0193,soep-core,bap,v29,bap57,,,
soep-is,is_pl,v1,PLB0195,soep-core,zp,v29,zp70,,,
soep-is,is_pl,v1,PLB0195,soep-core,bap,v29,bap59,,,
soep-is,is_pl,v1,PLB0197,soep-core,zp,v29,zp7102,,,
soep-is,is_pl,v1,PLB0197,soep-core,bap,v29,bap6002,,,
soep-is,is_pl,v1,PLB0196,soep-core,zp,v29,zp7101,,,
soep-is,is_pl,v1,PLB0196,soep-core,bap,v29,bap6001,,,
soep-is,is_pl,v1,PLC0013,soep-core,zp,v29,zp7201,,,
soep-is,is_pl,v1,PLC0013,soep-core,bap,v29,bap6101,,,
soep-is,is_pl,v1,PLC0013,soep-is,p_11,v1,ispbrut,,,
soep-is,is_pl,v1,PLC0014,soep-core,zp,v29,zp7202,,,
soep-is,is_pl,v1,PLC0014,soep-core,bap,v29,bap6102,,,
soep-is,is_pl,v1,PLC0014,soep-is,p_11,v1,ispnett,,,
soep-is,is_pl,v1,PLB0392,soep-core,zp,v29,zp7301,,,
soep-is,is_pl,v1,PLB0392,soep-core,bap,v29,bap6401,,,
soep-is,is_pl,v1,PLB0392,soep-is,p_11,v1,ispjob01,,,
soep-is,is_pl,v1,PLB0394,soep-core,zp,v29,zp7302,,,
soep-is,is_pl,v1,PLB0394,soep-core,bap,v29,bap6402,,,
soep-is,is_pl,v1,PLB0395,soep-core,zp,v29,zp7303,,,
soep-is,is_pl,v1,PLB0395,soep-core,bap,v29,bap6403,,,
soep-is,is_pl,v1,PLB0393,soep-core,zp,v29,zp7304,,,
soep-is,is_pl,v1,PLB0393,soep-core,bap,v29,bap6404,,,
soep-is,is_pl,v1,PLB0393,soep-is,p_11,v1,ispjobno,,,
soep-is,is_pl,v1,PLB0396,soep-core,zp,v29,zp75,,,
soep-is,is_pl,v1,PLB0396,soep-core,bap,v29,bap66,,,
soep-is,is_pl,v1,PLB0397,soep-core,zp,v29,zp76,,,
soep-is,is_pl,v1,PLB0397,soep-core,bap,v29,bap67,,,
soep-is,is_pl,v1,PLB0398,soep-core,zp,v29,zp77,,,
soep-is,is_pl,v1,PLB0398,soep-core,bap,v29,bap68,,,
soep-is,is_pl,v1,PLC0130,soep-core,zp,v29,zp7905,,,
soep-is,is_pl,v1,PLC0130,soep-core,bap,v29,bap7005,,,
soep-is,is_pl,v1,PLC0130,soep-is,p_11,v1,ispek03,,,
soep-is,is_pl,v1,PLC0131,soep-core,zp,v29,zp7906,,,
soep-is,is_pl,v1,PLC0131,soep-core,bap,v29,bap7006,,,
soep-is,is_pl,v1,PLC0131,soep-is,p_11,v1,ispek031,,,
soep-is,is_pl,v1,PLC0132,soep-core,zp,v29,zp7907,,,
soep-is,is_pl,v1,PLC0132,soep-core,bap,v29,bap7007,,,
soep-is,is_pl,v1,PLC0132,soep-is,p_11,v1,ispek04,,,
soep-is,is_pl,v1,PLC0133,soep-core,zp,v29,zp7908,,,
soep-is,is_pl,v1,PLC0133,soep-core,bap,v29,bap7008,,,
soep-is,is_pl,v1,PLC0133,soep-is,p_11,v1,ispek05,,,
soep-is,is_pl,v1,PLC0134,soep-core,zp,v29,zp7909,,,
soep-is,is_pl,v1,PLC0134,soep-core,bap,v29,bap7009,,,
soep-is,is_pl,v1,PLC0134,soep-is,p_11,v1,ispek051,,,
soep-is,is_pl,v1,PLC0161,soep-core,zp,v29,zp7910,,,
soep-is,is_pl,v1,PLC0161,soep-core,bap,v29,bap7010,,,
soep-is,is_pl,v1,PLC0162,soep-core,zp,v29,zp7911,,,
soep-is,is_pl,v1,PLC0162,soep-core,bap,v29,bap7011,,,
soep-is,is_pl,v1,PLC0232,soep-core,zp,v29,zp7901,,,
soep-is,is_pl,v1,PLC0232,soep-core,bap,v29,bap7001,,,
soep-is,is_pl,v1,PLC0232,soep-is,p_11,v1,ispek01,,,
soep-is,is_pl,v1,PLC0233,soep-core,zp,v29,zp7902,,,
soep-is,is_pl,v1,PLC0233,soep-core,bap,v29,bap7002,,,
soep-is,is_pl,v1,PLC0233,soep-is,p_11,v1,ispek011,,,
soep-is,is_pl,v1,PLC0273,soep-core,zp,v29,zp7903,,,
soep-is,is_pl,v1,PLC0273,soep-core,bap,v29,bap7003,,,
soep-is,is_pl,v1,PLC0273,soep-is,p_11,v1,ispek02,,,
soep-is,is_pl,v1,PLC0274,soep-core,zp,v29,zp7904,,,
soep-is,is_pl,v1,PLC0274,soep-core,bap,v29,bap7004,,,
soep-is,is_pl,v1,PLC0274,soep-is,p_11,v1,ispek021,,,
soep-is,is_pl,v1,PLC0152,soep-core,zp,v29,zp7912,,,
soep-is,is_pl,v1,PLC0152,soep-core,bap,v29,bap7012,,,
soep-is,is_pl,v1,PLC0152,soep-is,p_11,v1,ispek07,,,
soep-is,is_pl,v1,PLC0153,soep-core,zp,v29,zp7913,,,
soep-is,is_pl,v1,PLC0153,soep-core,bap,v29,bap7013,,,
soep-is,is_pl,v1,PLC0153,soep-is,p_11,v1,ispek071,,,
soep-is,is_pl,v1,PLC0167,soep-core,zp,v29,zp7914,,,
soep-is,is_pl,v1,PLC0167,soep-core,bap,v29,bap7014,,,
soep-is,is_pl,v1,PLC0167,soep-is,p_11,v1,ispek08,,,
soep-is,is_pl,v1,PLC0168,soep-core,zp,v29,zp7915,,,
soep-is,is_pl,v1,PLC0168,soep-core,bap,v29,bap7015,,,
soep-is,is_pl,v1,PLC0168,soep-is,p_11,v1,ispek081,,,
soep-is,is_pl,v1,PLC0066,soep-core,zp,v29,zp7916,,,
soep-is,is_pl,v1,PLC0066,soep-core,bap,v29,bap7016,,,
soep-is,is_pl,v1,PLC0066,soep-is,p_11,v1,ispek09,,,
soep-is,is_pl,v1,PLC0067,soep-core,zp,v29,zp7917,,,
soep-is,is_pl,v1,PLC0067,soep-core,bap,v29,bap7017,,,
soep-is,is_pl,v1,PLC0067,soep-is,p_11,v1,ispek091,,,
soep-is,is_pl,v1,PLC0202,soep-core,zp,v29,zp7920,,,
soep-is,is_pl,v1,PLC0202,soep-core,bap,v29,bap7022,,,
soep-is,is_pl,v1,PLC0202,soep-is,p_11,v1,ispek11,,,
soep-is,is_pl,v1,PLC0203,soep-core,zp,v29,zp7921,,,
soep-is,is_pl,v1,PLC0203,soep-core,bap,v29,bap7023,,,
soep-is,is_pl,v1,PLC0203,soep-is,p_11,v1,ispek111,,,
soep-is,is_pl,v1,PLC0116,soep-core,zp,v29,zp7922,,,
soep-is,is_pl,v1,PLC0116,soep-core,bap,v29,bap7024,,,
soep-is,is_pl,v1,PLC0116,soep-is,p_11,v1,ispekno,,,
soep-is,is_pl,v1,PLG0072,soep-core,zp,v29,zp8001,,,
soep-is,is_pl,v1,PLG0072,soep-core,bap,v29,bap7101,,,
soep-is,is_pl,v1,PLG0073,soep-core,zp,v29,zp8002,,,
soep-is,is_pl,v1,PLG0073,soep-core,bap,v29,bap7102,,,
soep-is,is_pl,v1,PLG0074,soep-core,zp,v29,zp8003,,,
soep-is,is_pl,v1,PLG0074,soep-core,bap,v29,bap7103,,,
soep-is,is_pl,v1,PLG0076,soep-core,zp,v29,zp81,,,
soep-is,is_pl,v1,PLG0076,soep-core,bap,v29,bap72,,,
soep-is,is_pl,v1,PLG0078,soep-core,zp,v29,zp8301,,,
soep-is,is_pl,v1,PLG0078,soep-core,bap,v29,bap7401,,,
soep-is,is_pl,v1,PLG0079,soep-core,zp,v29,zp8302,,,
soep-is,is_pl,v1,PLG0079,soep-core,bap,v29,bap7402,,,
soep-is,is_pl,v1,PLG0080,soep-core,zp,v29,zp8303,,,
soep-is,is_pl,v1,PLG0081,soep-core,zp,v29,zp8304,,,
soep-is,is_pl,v1,PLG0084,soep-core,zp,v29,zp8305,,,
soep-is,is_pl,v1,PLG0082,soep-core,zp,v29,zp8306,,,
soep-is,is_pl,v1,PLG0082,soep-core,bap,v29,bap7406,,,
soep-is,is_pl,v1,PLB0298,soep-core,zp,v29,zp8501,,,
soep-is,is_pl,v1,PLB0298,soep-core,bap,v29,bap7601,,,
soep-is,is_pl,v1,PLB0299,soep-core,zp,v29,zp8502,,,
soep-is,is_pl,v1,PLB0299,soep-core,bap,v29,bap7602,,,
soep-is,is_pl,v1,PLB0301,soep-core,zp,v29,zp8601,,,
soep-is,is_pl,v1,PLB0301,soep-core,bap,v29,bap7701,,,
soep-is,is_pl,v1,PLB0302,soep-core,zp,v29,zp8602,,,
soep-is,is_pl,v1,PLB0302,soep-core,bap,v29,bap7702,,,
soep-is,is_pl,v1,PLB0304,soep-core,zp,v29,zp87,,,
soep-is,is_pl,v1,PLB0304,soep-core,bap,v29,bap78,,,
soep-is,is_pl,v1,PLC0040,soep-core,zp,v29,zp8801,,,
soep-is,is_pl,v1,PLC0040,soep-core,bap,v29,bap7901,,,
soep-is,is_pl,v1,PLC0041,soep-core,zp,v29,zp8802,,,
soep-is,is_pl,v1,PLC0041,soep-core,bap,v29,bap7902,,,
soep-is,is_pl,v1,PLB0305,soep-core,zp,v29,zp89,,,
soep-is,is_pl,v1,PLB0305,soep-core,bap,v29,bap80,,,
soep-is,is_pl,v1,PLC0015,soep-core,zp,v29,zp91a01,,,
soep-is,is_pl,v1,PLC0015,soep-core,bap,v29,bap82a01,,,
soep-is,is_pl,v1,PLC0016,soep-core,zp,v29,zp91a02,,,
soep-is,is_pl,v1,PLC0016,soep-core,bap,v29,bap82a02,,,
soep-is,is_pl,v1,PLB0471,soep-core,zp,v29,zp91a03,,,
soep-is,is_pl,v1,PLB0471,soep-core,bap,v29,bap82a03,,,
soep-is,is_pl,v1,PLC0017,soep-core,zp,v29,zp91a04,,,
soep-is,is_pl,v1,PLC0017,soep-core,bap,v29,bap82a04,,,
soep-is,is_pl,v1,PLC0073,soep-core,zp,v29,zp91b01,,,
soep-is,is_pl,v1,PLC0073,soep-core,bap,v29,bap82b01,,,
soep-is,is_pl,v1,PLC0074,soep-core,zp,v29,zp91b02,,,
soep-is,is_pl,v1,PLC0074,soep-core,bap,v29,bap82b02,,,
soep-is,is_pl,v1,PLB0474,soep-core,zp,v29,zp91b03,,,
soep-is,is_pl,v1,PLB0474,soep-core,bap,v29,bap82b03,,,
soep-is,is_pl,v1,PLC0075,soep-core,zp,v29,zp91b04,,,
soep-is,is_pl,v1,PLC0075,soep-core,bap,v29,bap82b04,,,
soep-is,is_pl,v1,PLC0064,soep-core,zp,v29,zp91c01,,,
soep-is,is_pl,v1,PLC0064,soep-core,bap,v29,bap82c01,,,
soep-is,is_pl,v1,PLC0065,soep-core,zp,v29,zp91c02,,,
soep-is,is_pl,v1,PLC0065,soep-core,bap,v29,bap82c02,,,
soep-is,is_pl,v1,PLB0477,soep-core,zp,v29,zp91c03,,,
soep-is,is_pl,v1,PLB0477,soep-core,bap,v29,bap82c03,,,
soep-is,is_pl,v1,PLC0234,soep-core,zp,v29,zp91d01,,,
soep-is,is_pl,v1,PLC0234,soep-core,bap,v29,bap82d01,,,
soep-is,is_pl,v1,PLC0235,soep-core,zp,v29,zp91d02,,,
soep-is,is_pl,v1,PLC0235,soep-core,bap,v29,bap82d02,,,
soep-is,is_pl,v1,PLC0275,soep-core,zp,v29,zp91e01,,,
soep-is,is_pl,v1,PLC0275,soep-core,bap,v29,bap82e01,,,
soep-is,is_pl,v1,PLC0276,soep-core,zp,v29,zp91e02,,,
soep-is,is_pl,v1,PLC0276,soep-core,bap,v29,bap82e02,,,
soep-is,is_pl,v1,PLC0135,soep-core,zp,v29,zp91h01,,,
soep-is,is_pl,v1,PLC0135,soep-core,bap,v29,bap82h01,,,
soep-is,is_pl,v1,PLC0136,soep-core,zp,v29,zp91h02,,,
soep-is,is_pl,v1,PLC0136,soep-core,bap,v29,bap82h02,,,
soep-is,is_pl,v1,PLC0137,soep-core,zp,v29,zp91h03,,,
soep-is,is_pl,v1,PLC0137,soep-core,bap,v29,bap82h03,,,
soep-is,is_pl,v1,PLC0138,soep-core,zp,v29,zp91q01,,,
soep-is,is_pl,v1,PLC0138,soep-core,bap,v29,bap82q01,,,
soep-is,is_pl,v1,PLC0139,soep-core,zp,v29,zp91q02,,,
soep-is,is_pl,v1,PLC0139,soep-core,bap,v29,bap82q02,,,
soep-is,is_pl,v1,PLC0140,soep-core,zp,v29,zp91j01,,,
soep-is,is_pl,v1,PLC0140,soep-core,bap,v29,bap82j01,,,
soep-is,is_pl,v1,PLC0141,soep-core,zp,v29,zp91j02,,,
soep-is,is_pl,v1,PLC0141,soep-core,bap,v29,bap82j02,,,
soep-is,is_pl,v1,PLC0142,soep-core,zp,v29,zp91j03,,,
soep-is,is_pl,v1,PLC0142,soep-core,bap,v29,bap82j03,,,
soep-is,is_pl,v1,PLC0126,soep-core,zp,v29,zp91k01,,,
soep-is,is_pl,v1,PLC0126,soep-core,bap,v29,bap82k01,,,
soep-is,is_pl,v1,PLC0154,soep-core,zp,v29,zp91k02,,,
soep-is,is_pl,v1,PLC0154,soep-core,bap,v29,bap82k02,,,
soep-is,is_pl,v1,PLC0155,soep-core,zp,v29,zp91k03,,,
soep-is,is_pl,v1,PLC0155,soep-core,bap,v29,bap82k03,,,
soep-is,is_pl,v1,PLC0169,soep-core,zp,v29,zp91l01,,,
soep-is,is_pl,v1,PLC0169,soep-core,bap,v29,bap82l01,,,
soep-is,is_pl,v1,PLC0170,soep-core,zp,v29,zp91l02,,,
soep-is,is_pl,v1,PLC0170,soep-core,bap,v29,bap82l02,,,
soep-is,is_pl,v1,PLC0171,soep-core,zp,v29,zp91l03,,,
soep-is,is_pl,v1,PLC0171,soep-core,bap,v29,bap82l03,,,
soep-is,is_pl,v1,PLC0068,soep-core,zp,v29,zp91m01,,,
soep-is,is_pl,v1,PLC0068,soep-core,bap,v29,bap82m01,,,
soep-is,is_pl,v1,PLC0069,soep-core,zp,v29,zp91m02,,,
soep-is,is_pl,v1,PLC0069,soep-core,bap,v29,bap82m02,,,
soep-is,is_pl,v1,PLC0070,soep-core,zp,v29,zp91m03,,,
soep-is,is_pl,v1,PLC0070,soep-core,bap,v29,bap82m03,,,
soep-is,is_pl,v1,PLC0204,soep-core,zp,v29,zp91o01,,,
soep-is,is_pl,v1,PLC0204,soep-core,bap,v29,bap82o01,,,
soep-is,is_pl,v1,PLC0205,soep-core,zp,v29,zp91o02,,,
soep-is,is_pl,v1,PLC0205,soep-core,bap,v29,bap82o02,,,
soep-is,is_pl,v1,PLC0198,soep-core,zp,v29,zp91o03,,,
soep-is,is_pl,v1,PLC0198,soep-core,bap,v29,bap82o03,,,
soep-is,is_pl,v1,PLC0042,soep-core,zp,v29,zp9201,,,
soep-is,is_pl,v1,PLC0042,soep-core,bap,v29,bap8301,,,
soep-is,is_pl,v1,PLC0043,soep-core,zp,v29,zp9202,,,
soep-is,is_pl,v1,PLC0043,soep-core,bap,v29,bap8302,,,
soep-is,is_pl,v1,PLC0044,soep-core,zp,v29,zp9203,,,
soep-is,is_pl,v1,PLC0044,soep-core,bap,v29,bap8303,,,
soep-is,is_pl,v1,PLC0045,soep-core,zp,v29,zp9204,,,
soep-is,is_pl,v1,PLC0045,soep-core,bap,v29,bap8304,,,
soep-is,is_pl,v1,PLC0046,soep-core,zp,v29,zp9205,,,
soep-is,is_pl,v1,PLC0046,soep-core,bap,v29,bap8305,,,
soep-is,is_pl,v1,PLC0047,soep-core,zp,v29,zp9206,,,
soep-is,is_pl,v1,PLC0047,soep-core,bap,v29,bap8306,,,
soep-is,is_pl,v1,PLC0048,soep-core,zp,v29,zp9207,,,
soep-is,is_pl,v1,PLC0048,soep-core,bap,v29,bap8307,,,
soep-is,is_pl,v1,PLC0049,soep-core,zp,v29,zp9208,,,
soep-is,is_pl,v1,PLC0049,soep-core,bap,v29,bap8308,,,
soep-is,is_pl,v1,PLC0050,soep-core,zp,v29,zp9209,,,
soep-is,is_pl,v1,PLC0050,soep-core,bap,v29,bap8309,,,
soep-is,is_pl,v1,PLC0051,soep-core,zp,v29,zp9210,,,
soep-is,is_pl,v1,PLC0051,soep-core,bap,v29,bap8310,,,
soep-is,is_pl,v1,PLC0052,soep-core,zp,v29,zp9211,,,
soep-is,is_pl,v1,PLC0052,soep-core,bap,v29,bap8311,,,
soep-is,is_pl,v1,PLC0053,soep-core,zp,v29,zp9212,,,
soep-is,is_pl,v1,PLC0053,soep-core,bap,v29,bap8312,,,
soep-is,is_pl,v1,PLC0054,soep-core,zp,v29,zp9213,,,
soep-is,is_pl,v1,PLC0054,soep-core,bap,v29,bap8313,,,
soep-is,is_pl,v1,PLC0057,soep-core,bap,v29,bap8501,,,
soep-is,is_pl,v1,PLC0058,soep-core,bap,v29,bap8502,,,
soep-is,is_pl,v1,PLC0223,soep-core,zp,v29,zp9401,,,
soep-is,is_pl,v1,PLC0223,soep-core,bap,v29,bap8601,,,
soep-is,is_pl,v1,PLC0236,soep-core,zp,v29,zp9403,,,
soep-is,is_pl,v1,PLC0236,soep-core,bap,v29,bap8603,,,
soep-is,is_pl,v1,PLC0245,soep-core,zp,v29,zp9413,,,
soep-is,is_pl,v1,PLC0245,soep-core,bap,v29,bap8613,,,
soep-is,is_pl,v1,PLC0243,soep-core,zp,v29,zp9411,,,
soep-is,is_pl,v1,PLC0243,soep-core,bap,v29,bap8611,,,
soep-is,is_pl,v1,PLC0238,soep-core,zp,v29,zp9405,,,
soep-is,is_pl,v1,PLC0238,soep-core,bap,v29,bap8605,,,
soep-is,is_pl,v1,PLC0240,soep-core,zp,v29,zp9407,,,
soep-is,is_pl,v1,PLC0240,soep-core,bap,v29,bap8607,,,
soep-is,is_pl,v1,PLC0249,soep-core,zp,v29,zp9415,,,
soep-is,is_pl,v1,PLC0249,soep-core,bap,v29,bap8615,,,
soep-is,is_pl,v1,PLC0278,soep-core,zp,v29,zp9402,,,
soep-is,is_pl,v1,PLC0278,soep-core,bap,v29,bap8602,,,
soep-is,is_pl,v1,PLC0279,soep-core,zp,v29,zp9404,,,
soep-is,is_pl,v1,PLC0279,soep-core,bap,v29,bap8604,,,
soep-is,is_pl,v1,PLC0247,soep-core,zp,v29,zp9414,,,
soep-is,is_pl,v1,PLC0247,soep-core,bap,v29,bap8614,,,
soep-is,is_pl,v1,PLC0286,soep-core,zp,v29,zp9412,,,
soep-is,is_pl,v1,PLC0286,soep-core,bap,v29,bap8612,,,
soep-is,is_pl,v1,PLC0281,soep-core,zp,v29,zp9406,,,
soep-is,is_pl,v1,PLC0281,soep-core,bap,v29,bap8606,,,
soep-is,is_pl,v1,PLC0283,soep-core,zp,v29,zp9408,,,
soep-is,is_pl,v1,PLC0283,soep-core,bap,v29,bap8608,,,
soep-is,is_pl,v1,PLC0288,soep-core,zp,v29,zp9416,,,
soep-is,is_pl,v1,PLC0288,soep-core,bap,v29,bap8616,,,
soep-is,is_pl,v1,PLE0097,soep-core,zp,v29,zp107,,,
soep-is,is_pl,v1,PLE0097,soep-core,bap,v29,bap107,,,
soep-is,is_pl,v1,PLE0097,soep-is,p_11,v1,ispkv01,,,
soep-is,is_pl,v1,PLE0104,soep-core,zp,v29,zp108,,,
soep-is,is_pl,v1,PLE0104,soep-core,bap,v29,bap108,,,
soep-is,is_pl,v1,PLE0099,soep-core,zp,v29,zp109,,,
soep-is,is_pl,v1,PLE0099,soep-core,bap,v29,bap109,,,
soep-is,is_pl,v1,PLE0127,soep-core,bap,v29,bap111,,,
soep-is,is_pl,v1,PLE0128,soep-core,bap,v29,bap11201,,,
soep-is,is_pl,v1,PLE0129,soep-core,bap,v29,bap11202,,,
soep-is,is_pl,v1,PLE0130,soep-core,bap,v29,bap11301,,,
soep-is,is_pl,v1,PLE0131,soep-core,bap,v29,bap11302,,,
soep-is,is_pl,v1,PLE0132,soep-core,bap,v29,bap11303,,,
soep-is,is_pl,v1,PLE0133,soep-core,bap,v29,bap11304,,,
soep-is,is_pl,v1,PLE0134,soep-core,bap,v29,bap11305,,,
soep-is,is_pl,v1,PLE0135,soep-core,bap,v29,bap11306,,,
soep-is,is_pl,v1,PLE0121,soep-core,zp,v29,zp105,,,
soep-is,is_pl,v1,PLE0121,soep-core,bap,v29,bap105,,,
soep-is,is_pl,v1,PLE0102,soep-core,zp,v29,zp112,,,
soep-is,is_pl,v1,PLE0102,soep-core,bap,v29,bap114,,,
soep-is,is_pl,v1,PLE0136,soep-core,zp,v29,zp11301,,,
soep-is,is_pl,v1,PLE0136,soep-core,bap,v29,bap11501,,,
soep-is,is_pl,v1,PLE0137,soep-core,zp,v29,zp11302,,,
soep-is,is_pl,v1,PLE0137,soep-core,bap,v29,bap11502,,,
soep-is,is_pl,v1,PLE0138,soep-core,zp,v29,zp11401,,,
soep-is,is_pl,v1,PLE0138,soep-core,bap,v29,bap11601,,,
soep-is,is_pl,v1,PLE0139,soep-core,zp,v29,zp11402,,,
soep-is,is_pl,v1,PLE0139,soep-core,bap,v29,bap11602,,,
soep-is,is_pl,v1,PLE0140,soep-core,zp,v29,zp115,,,
soep-is,is_pl,v1,PLE0140,soep-core,bap,v29,bap117,,,
soep-is,is_pl,v1,PLE0141,soep-core,zp,v29,zp11601,,,
soep-is,is_pl,v1,PLE0141,soep-core,bap,v29,bap11801,,,
soep-is,is_pl,v1,PLE0107,soep-core,zp,v29,zp11602,,,
soep-is,is_pl,v1,PLE0107,soep-core,bap,v29,bap11802,,,
soep-is,is_pl,v1,PLE0160,soep-core,zp,v29,zp106,,,
soep-is,is_pl,v1,PLE0160,soep-core,bap,v29,bap106,,,
soep-is,is_pl,v1,PLE0008,soep-core,zp,v29,zp95,,,
soep-is,is_pl,v1,PLE0008,soep-core,bap,v29,bap87,,,
soep-is,is_pl,v1,PLE0008,soep-is,p_11,v1,ispges01,,,
soep-is,is_pl,v1,PLE0040,soep-core,zp,v29,zp9601,,,
soep-is,is_pl,v1,PLE0040,soep-core,bap,v29,bap9801,,,
soep-is,is_pl,v1,PLE0040,soep-is,p_11,v1,ispbeh1,,,
soep-is,is_pl,v1,PLE0041,soep-core,zp,v29,zp9602,,,
soep-is,is_pl,v1,PLE0041,soep-core,bap,v29,bap9802,,,
soep-is,is_pl,v1,PLE0041,soep-is,p_11,v1,ispbeh2,,,
soep-is,is_pl,v1,PLE0072,soep-core,zp,v29,zp9701,,,
soep-is,is_pl,v1,PLE0072,soep-core,bap,v29,bap9901,,,
soep-is,is_pl,v1,PLE0072,soep-is,p_11,v1,ispdr1,,,
soep-is,is_pl,v1,PLE0073,soep-core,zp,v29,zp9702,,,
soep-is,is_pl,v1,PLE0073,soep-core,bap,v29,bap9902,,,
soep-is,is_pl,v1,PLE0073,soep-is,p_11,v1,ispdr2,,,
soep-is,is_pl,v1,PLE0053,soep-core,zp,v29,zp98,,,
soep-is,is_pl,v1,PLE0053,soep-core,bap,v29,bap100,,,
soep-is,is_pl,v1,PLE0053,soep-is,p_11,v1,ispkr1,,,
soep-is,is_pl,v1,PLE0056,soep-core,zp,v29,zp9901,,,
soep-is,is_pl,v1,PLE0056,soep-core,bap,v29,bap10101,,,
soep-is,is_pl,v1,PLB0024,soep-core,zp,v29,zp100,,,
soep-is,is_pl,v1,PLB0024,soep-core,bap,v29,bap102,,,
soep-is,is_pl,v1,PLB0024,soep-is,p_11,v1,ispkr4,,,
soep-is,is_pl,v1,PLE0044,soep-core,zp,v29,zp10101,,,
soep-is,is_pl,v1,PLE0044,soep-core,bap,v29,bap10301,,,
soep-is,is_pl,v1,PLE0044,soep-is,p_11,v1,ispkr5,,,
soep-is,is_pl,v1,PLE0046,soep-core,zp,v29,zp10102,,,
soep-is,is_pl,v1,PLE0046,soep-core,bap,v29,bap10302,,,
soep-is,is_pl,v1,PLE0046,soep-is,p_11,v1,ispkr6,,,
soep-is,is_pl,v1,PLH0033,soep-core,zp,v29,zp12802,,,
soep-is,is_pl,v1,PLH0033,soep-core,bap,v29,bap13002,,,
soep-is,is_pl,v1,PLH0035,soep-core,zp,v29,zp12804,,,
soep-is,is_pl,v1,PLH0035,soep-core,bap,v29,bap13004,,,
soep-is,is_pl,v1,PLH0036,soep-core,zp,v29,zp12805,,,
soep-is,is_pl,v1,PLH0036,soep-core,bap,v29,bap13005,,,
soep-is,is_pl,v1,PLH0038,soep-core,zp,v29,zp12807,,,
soep-is,is_pl,v1,PLH0038,soep-core,bap,v29,bap13007,,,
soep-is,is_pl,v1,PLH0040,soep-core,zp,v29,zp12809,,,
soep-is,is_pl,v1,PLH0040,soep-core,bap,v29,bap13009,,,
soep-is,is_pl,v1,PLJ0046,soep-core,zp,v29,zp12810,,,
soep-is,is_pl,v1,PLJ0046,soep-core,bap,v29,bap13010,,,
soep-is,is_pl,v1,PLJ0047,soep-core,zp,v29,zp12811,,,
soep-is,is_pl,v1,PLJ0047,soep-core,bap,v29,bap13011,,,
soep-is,is_pl,v1,PLH0042,soep-core,zp,v29,zp12812,,,
soep-is,is_pl,v1,PLH0042,soep-core,bap,v29,bap13012,,,
soep-is,is_pl,v1,PLH0043,soep-core,zp,v29,zp12813,,,
soep-is,is_pl,v1,PLH0043,soep-core,bap,v29,bap13013,,,
soep-is,is_pl,v1,PLH0007,soep-core,zp,v29,zp122,,,
soep-is,is_pl,v1,PLH0007,soep-core,bap,v29,bap127,,,
soep-is,is_pl,v1,PLH0007,soep-is,p_11,v1,isppol1,,,
soep-is,is_pl,v1,PLH0011,soep-core,zp,v29,zp123,,,
